id,age,job,marital,education,default,amount,housing
90,54,self-employed,married,tertiary,no,0,yes
91,46,blue-collar,single,secondary,no,2401,yes
92,36,management,married,tertiary,no,9324,yes
93,47,admin.,married,secondary,no,1383,yes
94,34,self-employed,single,tertiary,no,1798,yes
95,38,management,married,tertiary,no,385,yes
96,35,entrepreneur,single,secondary,no,475,no
97,38,blue-collar,divorced,secondary,no,593,yes
98,42,services,married,secondary,no,693,yes
99,29,management,single,tertiary,no,2753,no
100,56,management,single,secondary,no,237,yes
101,46,technician,married,secondary,no,78,no
102,34,admin.,married,tertiary,no,0,yes
103,56,blue-collar,divorced,primary,no,8,yes
104,60,housemaid,divorced,secondary,no,387,yes
105,25,management,married,tertiary,no,127,yes
106,29,management,single,tertiary,no,3041,yes
107,37,admin.,single,tertiary,no,-898,yes
108,33,technician,married,tertiary,no,599,yes
109,35,technician,married,tertiary,no,358,no
110,46,retired,married,secondary,no,2396,no
111,35,blue-collar,single,secondary,no,448,no
112,34,technician,married,secondary,no,1137,no
113,31,entrepreneur,married,tertiary,no,-231,yes
114,39,technician,single,tertiary,no,54,yes
115,32,unemployed,single,primary,yes,0,no
116,37,technician,divorced,secondary,no,2610,yes
117,41,services,divorced,secondary,yes,-198,no
118,39,blue-collar,married,secondary,no,-66,no
119,28,admin.,single,secondary,no,1238,yes
120,34,blue-collar,married,primary,no,428,yes
121,34,housemaid,married,primary,no,2929,no
122,32,services,single,secondary,no,335,yes
123,70,retired,married,unknown,no,1236,no
124,30,unemployed,single,tertiary,no,4082,no
125,52,technician,married,secondary,no,1373,no
126,51,technician,married,secondary,no,564,no
127,41,blue-collar,married,primary,no,620,no
128,39,blue-collar,married,primary,no,176,yes
129,44,housemaid,married,secondary,no,2541,no
130,58,retired,married,secondary,no,2609,no
131,34,technician,married,secondary,no,449,no
132,38,technician,married,secondary,no,740,no
133,30,technician,single,tertiary,no,432,yes
134,48,blue-collar,married,primary,no,1092,no
135,58,unemployed,married,tertiary,no,1798,yes
136,34,entrepreneur,married,secondary,no,2,yes
137,31,services,married,primary,no,-212,no
138,37,entrepreneur,married,primary,no,0,no
139,57,retired,divorced,primary,no,698,no
140,28,student,single,secondary,no,2351,no
141,32,services,single,secondary,no,545,yes
142,32,blue-collar,married,secondary,no,-667,yes
143,39,management,single,tertiary,no,2357,yes
144,41,management,single,tertiary,no,11008,no
145,47,services,married,secondary,no,612,no
146,28,blue-collar,single,secondary,yes,0,yes
147,26,admin.,single,secondary,no,0,yes
148,60,management,married,secondary,no,164,no
149,49,housemaid,married,primary,no,0,yes
150,32,blue-collar,divorced,secondary,no,8,yes
151,25,blue-collar,single,secondary,no,0,yes
152,25,student,married,secondary,no,449,no
153,57,unemployed,divorced,secondary,no,2762,no
154,50,management,married,tertiary,no,15442,no
155,39,management,married,primary,no,1749,yes
156,34,management,married,tertiary,no,1778,no
157,38,blue-collar,married,secondary,no,926,no
158,30,services,single,secondary,no,572,yes
159,28,management,single,tertiary,no,145,yes
160,31,management,single,tertiary,no,1308,no
161,32,management,married,secondary,no,6217,yes
162,28,self-employed,single,tertiary,no,159,no
163,35,blue-collar,divorced,secondary,no,0,no
164,48,blue-collar,married,secondary,no,863,yes
165,30,technician,single,secondary,no,-232,no
166,46,management,married,secondary,no,5127,no
167,40,blue-collar,married,secondary,no,4853,no
168,37,blue-collar,married,primary,no,-196,yes
169,54,self-employed,married,tertiary,no,542,no
170,26,blue-collar,married,secondary,no,1702,yes
171,52,services,married,secondary,no,2257,yes
172,67,self-employed,married,tertiary,no,1979,no
173,33,management,divorced,tertiary,no,2240,no
174,42,blue-collar,married,primary,no,1687,yes
175,56,admin.,married,secondary,no,5310,no
176,35,management,married,tertiary,no,0,yes
177,38,entrepreneur,married,secondary,no,351,yes
178,33,self-employed,married,tertiary,no,-103,yes
179,30,management,married,tertiary,no,860,yes
180,35,management,single,tertiary,no,2646,no
181,45,technician,married,primary,no,718,yes
182,28,blue-collar,single,secondary,no,0,yes
183,58,admin.,married,unknown,no,5763,no
184,58,technician,married,secondary,no,0,yes
185,27,student,single,secondary,no,217,yes
186,39,blue-collar,married,secondary,no,1508,no
187,40,admin.,single,secondary,no,100,yes
188,37,technician,married,secondary,no,1610,no
189,58,housemaid,married,primary,no,260,yes
190,60,retired,single,secondary,no,1625,no
191,48,admin.,married,primary,no,3,yes
192,45,services,married,secondary,no,-3,yes
193,38,admin.,married,primary,no,3,yes
194,29,management,single,tertiary,no,573,yes
195,39,technician,married,secondary,no,504,yes
196,43,blue-collar,married,unknown,no,1123,yes
197,33,technician,married,tertiary,no,980,no
198,32,technician,single,secondary,no,0,no
199,62,unemployed,married,secondary,no,1625,no
200,49,technician,divorced,secondary,no,-39,yes
201,41,admin.,divorced,secondary,no,-365,yes
202,56,management,married,tertiary,no,1282,no
203,39,technician,single,tertiary,no,610,no
204,50,management,married,tertiary,no,2479,no
205,47,unemployed,married,secondary,no,955,yes
206,48,blue-collar,married,secondary,no,1791,no
207,42,admin.,single,secondary,no,1601,no
208,59,management,single,tertiary,no,705,no
209,45,unemployed,married,secondary,no,2040,no
210,46,technician,divorced,tertiary,no,288,yes
211,36,self-employed,single,primary,no,235,yes
212,53,blue-collar,married,secondary,no,21522,no
213,49,blue-collar,married,primary,no,0,yes
214,33,management,single,secondary,no,20600,no
215,27,management,single,tertiary,no,522,no
216,34,blue-collar,married,secondary,no,1454,yes
217,55,blue-collar,married,secondary,no,0,no
218,34,housemaid,married,tertiary,no,1265,yes
219,30,self-employed,single,tertiary,no,655,no
220,30,services,single,tertiary,no,1788,no
221,57,retired,married,secondary,no,703,yes
222,37,management,married,tertiary,no,887,no
223,49,housemaid,married,primary,no,0,no
224,42,blue-collar,married,secondary,no,3396,yes
225,43,management,married,tertiary,no,68,yes
226,40,management,divorced,tertiary,no,502,yes
227,60,technician,married,secondary,no,955,no
228,70,retired,married,secondary,no,2064,no
229,42,admin.,divorced,secondary,no,-249,yes
230,27,admin.,married,secondary,no,102,yes
231,39,services,married,secondary,no,173,yes
232,43,management,married,tertiary,no,254,yes
233,53,technician,married,secondary,no,31,yes
234,37,blue-collar,divorced,secondary,no,277,no
235,57,services,married,secondary,no,504,no
236,43,retired,single,primary,no,140,no
237,43,technician,married,secondary,no,-705,yes
238,49,blue-collar,married,primary,no,418,no
239,31,admin.,single,secondary,no,430,yes
240,28,student,single,secondary,no,0,no
241,29,student,single,secondary,no,658,no
242,36,management,married,tertiary,no,269,yes
243,35,technician,married,tertiary,no,22,no
244,37,management,married,tertiary,no,21,yes
245,27,services,single,secondary,no,1820,yes
246,30,technician,married,secondary,no,-189,no
247,29,management,single,tertiary,no,144,yes
248,49,management,married,secondary,no,99,yes
249,47,technician,single,unknown,no,77,yes
250,41,management,single,tertiary,no,8368,no
251,48,management,married,unknown,no,54,yes
252,51,housemaid,married,primary,no,382,no
253,60,unemployed,divorced,secondary,no,385,yes
254,57,blue-collar,divorced,primary,no,5041,yes
255,28,blue-collar,single,primary,no,0,yes
256,61,retired,married,tertiary,no,32685,no
257,36,self-employed,married,primary,no,1094,yes
258,22,student,single,secondary,no,254,no
259,35,technician,married,secondary,yes,-1322,yes
260,34,blue-collar,single,secondary,no,1759,no
261,48,technician,married,tertiary,no,449,yes
262,33,technician,single,tertiary,no,8097,no
263,31,management,single,tertiary,no,385,yes
264,26,management,single,tertiary,no,2692,no
265,36,blue-collar,married,secondary,no,139,yes
266,39,blue-collar,married,secondary,no,1045,yes
267,40,services,single,secondary,no,4126,no
268,32,management,married,tertiary,no,0,no
269,45,blue-collar,married,unknown,no,550,no
270,40,management,married,tertiary,no,1217,yes
271,51,admin.,divorced,secondary,no,-20,no
272,44,entrepreneur,married,tertiary,no,3463,yes
273,34,technician,single,tertiary,no,-554,yes
274,45,services,married,secondary,no,-1621,yes
275,40,technician,married,secondary,no,1232,no
276,51,management,married,tertiary,no,307,yes
277,57,management,married,secondary,no,7162,no
278,30,blue-collar,single,secondary,no,4,no
279,54,self-employed,married,secondary,no,641,yes
280,28,admin.,married,secondary,no,0,yes
281,49,housemaid,married,primary,no,3376,no
282,39,technician,married,secondary,no,3494,yes
283,53,technician,married,secondary,no,56,yes
284,35,self-employed,married,tertiary,no,1178,yes
285,36,technician,married,tertiary,no,4596,yes
286,40,admin.,single,secondary,no,5061,no
287,40,blue-collar,married,primary,no,669,yes
288,32,technician,single,secondary,no,284,no
289,35,blue-collar,married,unknown,no,245,yes
290,35,blue-collar,divorced,primary,no,-5,no
291,31,services,single,secondary,no,1599,no
292,44,management,married,tertiary,no,5282,yes
293,34,technician,single,secondary,no,951,yes
294,49,management,married,tertiary,no,-969,no
295,73,retired,married,unknown,no,3443,no
296,38,unemployed,married,primary,no,449,yes
297,56,housemaid,divorced,secondary,no,0,no
298,27,admin.,single,tertiary,no,4738,no
299,48,blue-collar,married,primary,no,0,no
300,36,unemployed,divorced,secondary,no,1366,no
301,36,blue-collar,married,secondary,no,0,yes
302,60,management,married,tertiary,no,371,no
303,40,blue-collar,married,secondary,no,876,no
304,57,technician,divorced,secondary,no,204,no
305,44,management,divorced,tertiary,no,2058,no
306,50,admin.,married,secondary,no,736,yes
307,32,management,married,tertiary,no,607,yes
308,44,technician,married,secondary,no,227,yes
309,43,blue-collar,married,secondary,no,408,yes
310,33,technician,single,secondary,no,422,no
311,43,management,married,tertiary,no,2987,no
312,24,admin.,single,secondary,no,99,no
313,36,management,single,tertiary,no,1339,yes
314,49,services,married,secondary,no,400,no
315,34,management,divorced,tertiary,no,2885,no
316,37,technician,married,secondary,no,277,yes
317,30,admin.,divorced,primary,no,1032,yes
318,58,management,married,tertiary,no,4265,yes
319,45,admin.,divorced,tertiary,no,569,yes
320,38,blue-collar,married,primary,no,3242,yes
321,29,technician,single,secondary,no,22008,yes
322,36,blue-collar,married,secondary,no,-100,yes
323,29,blue-collar,married,secondary,no,940,yes
324,25,student,single,secondary,no,1957,no
325,49,blue-collar,married,primary,no,216,yes
326,33,admin.,single,secondary,no,13,yes
327,51,blue-collar,married,primary,no,-637,yes
328,35,blue-collar,married,primary,no,356,yes
329,52,blue-collar,married,secondary,no,698,no
330,42,technician,married,secondary,no,419,no
331,29,blue-collar,single,secondary,no,2806,no
332,43,self-employed,married,secondary,no,284,no
333,41,housemaid,married,secondary,no,0,yes
334,47,admin.,married,secondary,no,642,yes
335,44,technician,single,secondary,no,244,yes
336,37,services,married,secondary,no,523,yes
337,50,services,single,secondary,no,321,no
338,42,technician,divorced,secondary,no,-593,no
339,26,unemployed,married,primary,no,70,yes
340,39,self-employed,married,secondary,no,81,no
341,56,housemaid,married,primary,no,2666,yes
342,22,student,single,primary,no,110,yes
343,33,blue-collar,single,secondary,no,371,yes
344,30,services,single,secondary,no,1824,yes
345,49,blue-collar,married,primary,no,3659,yes
346,51,blue-collar,married,primary,no,-27,no
347,32,management,single,tertiary,no,12686,yes
348,25,services,single,tertiary,no,12,no
349,33,services,divorced,secondary,no,2411,yes
350,45,services,married,primary,no,7811,no
351,29,services,single,secondary,no,229,yes
352,28,management,single,tertiary,no,730,yes
353,29,blue-collar,married,secondary,no,602,yes
354,29,entrepreneur,married,primary,no,519,yes
355,36,blue-collar,divorced,primary,no,3202,yes
356,25,services,single,secondary,no,54,yes
357,31,admin.,married,secondary,no,389,yes
358,29,management,single,secondary,no,417,no
359,29,management,single,tertiary,no,2799,yes
360,51,blue-collar,divorced,primary,no,1236,yes
361,35,management,married,tertiary,no,71,no
362,32,management,single,tertiary,no,27,yes
363,37,technician,single,secondary,no,29,no
364,45,blue-collar,married,secondary,no,1583,yes
365,46,blue-collar,married,primary,no,1844,no
366,64,retired,divorced,primary,no,109,no
367,60,blue-collar,married,primary,no,109,no
368,48,services,single,primary,no,-139,no
369,28,blue-collar,single,unknown,no,448,yes
370,30,technician,single,secondary,no,1534,yes
371,39,management,divorced,tertiary,no,2193,yes
372,51,admin.,single,secondary,no,1994,no
373,50,entrepreneur,divorced,tertiary,no,1790,no
374,26,admin.,single,secondary,no,66,yes
375,36,technician,married,secondary,no,483,yes
376,30,admin.,single,secondary,no,10735,no
377,59,management,married,tertiary,no,1729,no
378,39,housemaid,married,primary,no,13338,no
379,31,services,married,secondary,no,-30,yes
380,47,admin.,married,secondary,no,726,no
381,52,management,married,tertiary,no,809,no
382,48,blue-collar,single,primary,no,0,no
383,47,housemaid,married,primary,no,823,no
384,65,management,divorced,tertiary,no,90,yes
385,43,management,married,tertiary,no,240,yes
386,32,blue-collar,married,secondary,no,3228,yes
387,45,blue-collar,married,secondary,no,2718,yes
388,54,retired,married,primary,no,2243,no
389,33,technician,single,tertiary,no,1257,yes
390,30,admin.,married,secondary,no,-44,yes
391,50,blue-collar,divorced,unknown,no,2812,yes
392,36,management,divorced,tertiary,no,133,yes
393,51,blue-collar,married,primary,no,40,yes
394,30,management,single,tertiary,no,376,yes
395,40,admin.,married,secondary,no,824,yes
396,71,retired,married,tertiary,no,653,no
397,58,retired,married,secondary,no,25,yes
398,26,admin.,single,secondary,no,614,no
399,61,retired,married,secondary,no,938,no
400,36,blue-collar,married,primary,no,49,yes
401,30,services,single,secondary,no,-100,yes
402,34,services,married,secondary,no,404,yes
403,49,management,married,tertiary,no,53,no
404,51,technician,married,secondary,no,2242,no
405,51,admin.,married,secondary,no,-287,yes
406,59,management,married,tertiary,no,2143,yes
407,43,blue-collar,married,primary,no,547,no
408,43,admin.,married,secondary,no,1807,yes
409,40,technician,single,secondary,no,2141,no
410,34,management,married,tertiary,no,3047,no
411,50,admin.,single,secondary,no,424,yes
412,32,management,married,primary,no,142,yes
413,41,self-employed,married,secondary,no,1,no
414,56,blue-collar,married,secondary,no,276,no
415,36,technician,divorced,secondary,no,664,yes
416,36,management,married,secondary,no,2637,no
417,34,technician,single,tertiary,no,184,yes
418,57,technician,married,secondary,no,1158,no
419,50,blue-collar,married,primary,no,4108,yes
420,46,entrepreneur,married,primary,no,829,no
421,60,retired,divorced,primary,no,-79,yes
422,30,technician,married,secondary,no,24,yes
423,31,blue-collar,married,primary,no,-848,yes
424,51,admin.,married,secondary,no,21,no
425,44,management,married,tertiary,no,1138,no
426,27,services,single,secondary,no,4923,yes
427,27,blue-collar,single,secondary,no,3792,no
428,54,retired,married,secondary,no,529,yes
429,56,services,married,secondary,no,159,yes
430,44,technician,divorced,secondary,no,1262,yes
431,30,technician,single,secondary,no,3927,yes
432,37,technician,single,secondary,no,3,yes
433,32,services,married,secondary,no,183,yes
434,44,blue-collar,married,unknown,no,1529,yes
435,34,admin.,married,primary,no,239,yes
436,32,blue-collar,single,primary,no,3595,yes
437,57,retired,married,secondary,no,283,no
438,26,technician,single,secondary,no,3244,no
439,45,blue-collar,married,secondary,no,90,yes
440,32,blue-collar,married,primary,no,131,yes
441,51,admin.,married,secondary,no,73,no
442,54,retired,married,primary,no,208,no
443,48,management,divorced,tertiary,no,1669,yes
444,36,blue-collar,married,secondary,no,0,yes
445,36,technician,divorced,secondary,no,556,yes
446,26,management,single,tertiary,no,2506,no
447,34,blue-collar,married,secondary,no,0,yes
448,25,technician,single,tertiary,no,640,yes
449,54,technician,divorced,secondary,no,-291,no
450,34,blue-collar,married,unknown,no,11,yes
451,26,services,married,secondary,no,2063,yes
452,29,admin.,married,secondary,no,1,yes
453,49,unemployed,married,primary,no,518,no
454,37,technician,married,secondary,no,1116,yes
455,41,technician,married,secondary,no,923,yes
456,50,management,married,tertiary,no,2881,no
457,36,management,single,tertiary,no,10773,yes
458,29,blue-collar,single,secondary,no,1012,yes
459,58,housemaid,married,secondary,no,196,no
460,32,blue-collar,single,secondary,no,8859,yes
461,38,admin.,single,unknown,no,31,no
462,36,management,married,secondary,no,1825,yes
463,55,management,single,secondary,no,220,yes
464,30,admin.,single,tertiary,no,253,yes
465,56,management,married,tertiary,no,16377,no
466,26,management,married,tertiary,no,5,yes
467,31,management,single,tertiary,no,86,no
468,50,blue-collar,divorced,primary,no,149,yes
469,35,unemployed,single,secondary,no,9,yes
470,41,technician,married,secondary,no,563,yes
471,35,blue-collar,married,secondary,no,360,yes
472,33,housemaid,married,secondary,no,230,no
473,42,management,single,tertiary,no,100,no
474,32,management,single,tertiary,no,751,yes
475,28,services,married,secondary,no,0,yes
476,55,blue-collar,married,primary,no,419,no
477,39,blue-collar,married,primary,no,34,yes
478,31,management,married,tertiary,no,233,yes
479,35,blue-collar,married,secondary,no,4,no
480,53,housemaid,married,primary,yes,945,no
481,60,management,married,tertiary,no,0,no
482,32,services,married,secondary,no,1398,yes
483,19,student,single,secondary,no,1803,no
484,36,technician,married,secondary,no,366,no
485,45,management,married,tertiary,no,-459,no
486,25,services,single,secondary,no,628,no
487,41,technician,married,secondary,no,2152,no
488,40,technician,married,secondary,no,2338,no
489,32,blue-collar,single,secondary,no,127,yes
490,32,admin.,single,secondary,no,92,yes
491,52,services,divorced,primary,no,432,yes
492,26,student,single,secondary,no,620,no
493,34,admin.,single,secondary,no,266,yes
494,41,technician,divorced,tertiary,no,2611,yes
495,55,services,married,secondary,no,2120,no
496,45,admin.,married,secondary,no,248,no
497,48,blue-collar,married,primary,no,0,no
498,60,technician,married,secondary,no,1139,no
499,45,management,divorced,tertiary,no,0,no
500,32,blue-collar,single,secondary,no,228,no
501,56,self-employed,married,secondary,no,1113,no
502,55,technician,married,unknown,no,4746,yes
503,39,management,married,tertiary,no,0,no
504,55,admin.,married,primary,no,319,no
505,34,admin.,single,secondary,no,4447,yes
506,40,management,married,tertiary,no,449,no
507,41,blue-collar,married,primary,no,1820,yes
508,56,entrepreneur,married,tertiary,no,40,no
509,33,technician,married,tertiary,no,-258,no
510,42,housemaid,married,secondary,no,477,yes
511,39,management,single,tertiary,no,0,yes
512,43,technician,married,secondary,no,7876,yes
513,28,technician,single,secondary,no,1241,no
514,37,services,single,secondary,no,105,no
515,30,management,single,tertiary,no,2317,yes
516,44,blue-collar,married,primary,no,1147,yes
517,50,technician,divorced,secondary,no,148,yes
518,30,management,single,tertiary,no,4,yes
519,36,admin.,divorced,primary,no,1127,yes
520,51,management,married,secondary,no,441,yes
521,37,admin.,married,secondary,no,68,yes
522,32,technician,single,tertiary,no,550,no
523,79,retired,married,secondary,no,909,no
524,56,retired,married,primary,no,556,yes
525,37,management,married,tertiary,no,16,no
526,37,admin.,married,secondary,no,-426,yes
527,47,blue-collar,married,secondary,no,387,yes
528,41,entrepreneur,married,primary,no,406,no
529,48,blue-collar,single,primary,no,623,yes
530,58,retired,divorced,primary,no,593,no
531,47,housemaid,divorced,primary,no,1405,no
532,41,blue-collar,married,secondary,no,523,yes
533,51,management,married,tertiary,no,1421,yes
534,38,blue-collar,married,secondary,no,-367,yes
535,36,admin.,single,secondary,no,8,no
536,45,blue-collar,married,unknown,no,-320,yes
537,40,blue-collar,married,secondary,no,6767,yes
538,52,self-employed,married,primary,no,314,yes
539,37,blue-collar,married,secondary,no,688,yes
540,36,admin.,single,secondary,no,115,no
541,56,retired,married,secondary,no,878,no
542,46,management,single,tertiary,no,334,yes
543,27,unknown,single,tertiary,no,6421,no
544,64,retired,married,tertiary,no,1644,no
545,41,services,married,primary,no,450,yes
546,34,blue-collar,married,secondary,yes,-745,yes
547,36,unknown,single,primary,no,3415,no
548,44,technician,divorced,secondary,no,1196,yes
549,38,entrepreneur,married,tertiary,no,4,yes
550,57,retired,married,secondary,no,13834,no
551,72,retired,married,unknown,no,413,no
552,34,unknown,married,unknown,no,4535,no
553,32,technician,single,tertiary,no,6284,no
554,39,management,married,tertiary,no,-468,yes
555,69,retired,married,unknown,no,647,no
556,49,management,married,tertiary,no,-470,yes
557,54,blue-collar,divorced,primary,no,10374,yes
558,48,technician,married,secondary,no,335,no
559,35,technician,single,secondary,no,344,no
560,24,blue-collar,single,secondary,no,525,yes
561,32,technician,married,secondary,no,253,yes
562,43,technician,single,unknown,no,572,no
563,54,admin.,married,primary,no,0,yes
564,41,blue-collar,married,secondary,no,49,yes
565,48,admin.,single,secondary,no,0,yes
566,40,blue-collar,married,primary,no,2171,yes
567,44,technician,married,secondary,no,533,yes
568,47,blue-collar,married,secondary,no,235,yes
569,55,unemployed,married,primary,no,8585,no
570,29,blue-collar,married,secondary,no,321,yes
571,37,admin.,single,secondary,no,192,yes
572,58,self-employed,married,unknown,no,1187,yes
573,41,blue-collar,divorced,secondary,no,3622,no
574,49,management,married,tertiary,no,15,no
575,38,technician,single,secondary,no,1655,no
576,46,blue-collar,married,primary,no,684,yes
577,55,self-employed,married,secondary,yes,0,no
578,58,retired,married,secondary,no,35,no
579,33,services,married,secondary,no,478,no
580,43,technician,married,secondary,no,308,yes
581,44,management,divorced,tertiary,no,6285,yes
582,46,technician,married,secondary,no,700,yes
583,36,management,married,tertiary,no,2813,yes
584,49,unemployed,married,tertiary,no,377,no
585,46,technician,married,secondary,no,218,no
586,31,admin.,married,secondary,no,8784,yes
587,27,admin.,married,secondary,no,941,yes
588,30,management,single,tertiary,no,44,no
589,34,technician,married,secondary,no,2959,no
590,38,blue-collar,married,primary,no,489,yes
591,49,technician,married,tertiary,no,-888,no
592,37,services,married,secondary,no,1785,yes
593,47,management,divorced,tertiary,no,6333,yes
594,26,blue-collar,single,secondary,no,972,yes
595,64,retired,married,primary,no,1977,no
596,38,management,divorced,tertiary,no,2350,no
597,58,blue-collar,married,primary,no,128,yes
598,36,unemployed,divorced,tertiary,no,734,no
599,33,technician,single,tertiary,no,231,yes
600,47,blue-collar,married,primary,no,273,yes
601,54,blue-collar,married,primary,no,209,no
602,31,admin.,married,secondary,no,337,no
603,39,entrepreneur,divorced,tertiary,no,208,yes
604,59,retired,married,primary,no,-411,no
605,43,blue-collar,divorced,primary,no,1260,no
606,30,technician,single,secondary,no,458,no
607,34,blue-collar,married,secondary,no,452,yes
608,51,blue-collar,married,secondary,no,814,yes
609,37,services,single,tertiary,no,718,no
610,44,blue-collar,married,primary,no,314,yes
611,26,blue-collar,single,primary,no,-887,yes
612,32,services,married,secondary,no,0,yes
613,33,management,divorced,tertiary,no,802,no
614,40,blue-collar,married,primary,no,665,yes
615,31,blue-collar,married,secondary,no,968,no
616,34,blue-collar,single,tertiary,no,1011,yes
617,37,technician,single,secondary,no,181,no
618,54,retired,married,secondary,no,1154,yes
619,36,entrepreneur,married,secondary,no,215,yes
620,26,technician,single,secondary,no,223,no
621,26,blue-collar,divorced,secondary,no,241,yes
622,31,services,married,secondary,no,272,yes
623,60,retired,divorced,tertiary,no,-134,no
624,41,entrepreneur,married,tertiary,no,221,yes
625,30,admin.,single,tertiary,no,8,no
626,54,management,divorced,tertiary,no,496,no
627,34,management,married,tertiary,no,527,no
628,29,technician,single,tertiary,no,218,yes
629,32,technician,married,secondary,no,84,no
630,48,services,married,secondary,no,2409,yes
631,50,technician,divorced,tertiary,no,-1455,yes
632,31,management,married,tertiary,no,1230,yes
633,32,management,single,tertiary,no,4291,no
634,73,retired,married,primary,no,1388,no
635,57,technician,married,secondary,no,1078,yes
636,34,technician,married,secondary,no,-56,yes
637,49,blue-collar,married,secondary,no,1854,yes
638,37,self-employed,single,tertiary,no,1549,no
639,32,management,married,tertiary,no,-360,yes
640,27,management,married,tertiary,no,2729,yes
641,78,retired,divorced,secondary,no,631,no
642,28,housemaid,single,primary,no,332,no
643,49,technician,married,primary,no,230,yes
644,31,blue-collar,married,secondary,no,297,yes
645,49,admin.,married,secondary,no,449,yes
646,25,student,single,unknown,no,10788,no
647,41,technician,single,tertiary,no,145,no
648,41,services,married,secondary,no,1445,no
649,31,technician,married,secondary,no,1263,yes
650,43,blue-collar,married,secondary,no,184,no
651,43,management,married,secondary,no,-213,no
652,42,blue-collar,single,primary,no,177,yes
653,32,student,married,secondary,no,833,yes
654,38,management,married,tertiary,no,106,no
655,31,blue-collar,single,tertiary,no,328,yes
656,27,admin.,single,secondary,no,-541,yes
657,28,admin.,married,tertiary,no,174,yes
658,59,blue-collar,married,secondary,no,1407,yes
659,50,management,divorced,tertiary,no,83,yes
660,30,admin.,single,secondary,yes,-35,yes
661,56,retired,married,secondary,no,393,no
