îNóÓ	ê´ï 	ãŒë±îNêî	íSìñå⁄ãqêî	âcã∆îÑè„	îNïÓ
32	F	9	6	856800 	3804837 
30	F	8	3	393900 	3828481 
49	F	18	5	1020000 	5011620 
26	F	0	5	208000 	3180190 
46	M	4	1	19400 	3558706 
25	F	3	6	924000 	3418230 
31	F	3	6	988800 	3553173 
34	M	7	7	898800 	3981658 
35	M	14	2	428000 	4132350 
28	M	7	3	470400 	3887029 
20	F	0	2	228000 	3091305 
44	F	21	7	910000 	4993090 
29	M	8	3	261600 	3777201 
45	F	15	4	601600 	4148248 
25	M	1	4	479600 	3206969 
39	F	14	7	134400 	4089865 
39	F	6	7	543200 	3592038 
38	M	13	2	249600 	4231453 
35	M	9	3	291000 	3727486 
34	F	7	1	58200 	3647461 
28	M	3	4	595200 	3451915 
33	F	8	2	428000 	3837050 
40	F	16	3	312000 	4705546 
23	M	1	3	87300 	3193101 
26	F	0	5	300000 	3132397 
48	F	18	1	54500 	4260621 
39	F	4	2	90000 	3492495 
25	F	1	2	399000 	3282624 
47	M	4	3	256500 	3697258 
42	F	12	5	517000 	4201420 
20	F	0	6	249600 	3094453 
20	F	0	1	185300 	3115082 
42	M	2	5	545000 	3400900 
40	M	3	5	583000 	3453038 
45	M	1	7	315000 	3350483 
22	F	1	5	700000 	3222487 
20	M	0	6	954000 	3137102 
46	F	13	5	665000 	4449487 
20	F	0	7	667800 	3155395 
20	F	0	2	111600 	3104342 
25	M	1	5	833000 	3303569 
33	F	4	1	10600 	3567924 
41	M	12	4	413600 	4326452 
41	M	16	2	165600 	4683712 
41	F	5	4	515200 	3621957 
22	M	0	6	114000 	3125092 
50	F	4	6	1231200 	3672497 
45	F	4	7	919100 	3732616 
31	M	0	3	523200 	3276523 
46	M	12	4	81600 	4367371 
31	F	0	3	57600 	3208673 
45	F	19	4	291200 	4511515 
38	F	2	3	606000 	3432589 
26	F	4	4	400400 	3446628 
27	F	3	3	472500 	3485235 
44	F	15	4	473200 	4673837 
22	M	1	3	456000 	3179430 
42	F	14	7	142800 	4408089 
28	M	3	3	144000 	3383264 
21	M	1	2	66000 	3039797 
22	M	2	4	700400 	3345946 
50	M	1	7	285600 	3443199 
40	M	6	3	54000 	3714549 
33	M	8	6	630000 	3722487 
49	M	21	3	282000 	4475074 
46	M	3	3	436800 	3602132 
25	F	4	4	612000 	3446764 
48	F	7	2	222200 	3845060 
49	F	2	1	112200 	3427330 
23	M	3	3	577800 	3435380 
50	F	3	7	728000 	3624968 
35	F	11	2	396000 	3966287 
23	M	0	2	204600 	3118195 
42	F	2	6	392400 	3407862 
40	F	8	7	840000 	3976089 
47	F	23	1	58200 	5250761 
36	M	15	6	171000 	4215198 
42	M	19	2	66000 	4581497 
38	M	1	5	990000 	3484548 
30	F	4	4	72800 	3389688 
50	F	4	6	846000 	3840763 
20	F	0	4	734400 	3195100 
37	F	14	2	18400 	4372661 
39	M	9	2	319600 	3973453 
21	M	1	2	154000 	3156121 
37	M	3	7	350000 	3377983 
45	M	10	2	151200 	3973613 
30	F	9	6	858000 	4059312 
42	M	21	7	197400 	4434746 
46	M	13	7	277200 	4430675 
34	M	2	5	598000 	3308023 
50	F	21	6	1128000 	5599058 
41	M	16	2	252000 	4319002 
35	F	11	1	145600 	4212697 
36	F	14	6	460800 	3947830 
31	F	1	2	148400 	3215005 
49	M	8	7	504700 	3819427 
41	F	20	5	585000 	5005629 
22	M	0	7	921200 	3152722 
44	F	22	7	1323000 	5184075 
41	M	5	3	27300 	3506658 
50	M	2	4	760000 	3587231 
43	F	1	3	157500 	3310131 
37	F	8	2	231000 	3871542 
44	M	9	4	80800 	4201454 
38	F	11	6	58800 	4021048 
24	M	0	5	891000 	3138721 
36	F	9	5	364000 	3779924 
25	F	0	7	135800 	3098869 
29	F	8	3	382200 	3918876 
40	F	11	5	428000 	3802950 
36	M	7	5	927000 	3660267 
25	F	4	1	140400 	3430439 
37	M	4	5	752000 	3573865 
25	M	5	7	378000 	3468664 
24	F	3	1	127400 	3296245 
31	F	2	1	118300 	3389219 
49	F	23	7	1198400 	5350717 
41	M	11	5	216000 	4405856 
20	F	0	1	72800 	3068688 
30	M	9	2	145600 	4009497 
36	F	15	6	969000 	4465088 
31	M	3	3	306900 	3460903 
20	M	0	5	145500 	3079282 
30	M	0	3	518400 	3144624 
23	F	1	2	316800 	3147345 
42	F	15	7	1130500 	4625422 
46	M	22	3	90000 	5355795 
45	M	3	6	57000 	3572286 
48	M	23	6	508800 	5156025 
40	M	12	7	371000 	3956144 
27	M	1	5	1026000 	3343294 
21	F	1	1	18200 	3063332 
46	F	5	6	1037400 	3759855 
39	F	2	4	126000 	3378741 
20	F	0	6	1242600 	3179158 
25	F	2	4	75200 	3211038 
30	M	0	1	119600 	3088508 
47	M	10	4		4318977 
21	M	1	6	59400 	3210135 
50	F	11	2	18000 	4099802 
25	M	4	2	306000 	3422571 
22	F	2	1	127200 	3234816 
37	M	5	6	441000 	3707444 
46	F	23	2	232800 	5178304 
46	M	19	7	642600 	4652723 
42	F	22	3	196200 	5158471 
26	F	5	7	322000 	3672803 
33	M	13	7	739200 	4436900 
46	M	11	7	1153600 	4491589 
31	F	1	5	45000 	3260337 
22	F	0	6	1069200 	3174289 
27	M	6	1	63000 	3514360 
28	M	1	2	252200 	3277431 
28	F	1	1	169600 	3194194 
47	F	25	1	192600 	5761546 
41	F	14	7	134400 	4576265 
23	F	2	1	154700 	3241523 
45	M	17	4	588000 	4495266 
36	M	11	1	80000 	4139137 
22	M	1	7	911400 	3284294 
40	F	3	1	38000 	3600017 
35	F	4	3	324000 	3546795 
49	M	24	4	37600 	4820259 
27	F	0	3	403200 	3218936 
33	M	5	3	326700 	3646288 
48	M	27	2	265200 	5317426 
46	M	8	1	21400 	3838598 
46	M	5	1	98100 	3848975 
38	F	18	7	728000 	4710368 
20	F	0	7	63000 	3097260 
33	M	5	7	1225700 	3675495 
42	M	19	5	45000 	4342837 
26	F	1	5	533500 	3239624 
48	F	16	6	489600 	4471027 
34	M	1	1	31200 	3290826 
36	M	3	5	742500 	3568481 
20	F	0	4	294400 	3100981 
29	F	9	7	526400 	3887189 
29	M	6	6	118800 	3524492 
45	F	14	2	176000 	4603227 
50	M	23	3	436800 	4499232 
29	F	4	4	220800 	3537756 
25	M	2	2	383800 	3203509 
33	F	4	7	945000 	3588490 
31	M	4	2	36000 	3335526 
23	F	2	4	693600 	3255455 
28	M	4	5	720000 	3563802 
27	F	1	2	320000 	3237912 
32	F	8	1	20600 	3743881 
48	F	5	6	58800 	3770248 
23	F	2	6	763200 	3425397 
48	M	28	2	153600 	6210863 
22	M	1	1	163500 	3097906 
41	F	15	3	297000 	4513460 
38	F	12	4	665600 	4412074 
49	F	23	3	480000 	5097328 
31	M	9	7	197400 	3831946 
26	F	0	6	666600 	3157020 
38	M	6	1	19200 	3737077 
23	F	2	5	588500 	3366539 
50	F	22	7	346500 	5203973 
49	F	6	5	824500 	3868330 
21	M	0	2	364000 	3061324 
20	F	0	7	891800 	3098038 
38	M	6	6	936000 	3939079 
38	M	13	3	390600 	4308000 
39	F	6	6	441000 	3875844 
28	F	2	2	61800 	3274085 
23	M	1	3	654000 	3184584 
23	F	2	1	64800 	3280822 
26	M	1	2	56400 	3108198 
30	M	6	7	1383200 	3641647 
28	M	1	7	1526000 	3335257 
47	M	4	1	81600 	3471371 
46	M	18	3	484500 	5105084 
33	F	9	7	339500 	3875653 
49	F	13	6	840000 	4466289 
39	M	16	7	831600 	4313065 
27	M	3	2	353600 	3346508 
43	M	19	7	667800 	4465795 
47	M	26	3	190800 	5634584 
48	M	17	1	127200 	4419016 
50	F	5	5	624000 	3796512 
40	M	12	3	324000 	4399295 
22	M	0	2	332800 	3036777 
34	M	1	6	1155600 	3332880 
23	F	0	3	429000 	3061196 
42	M	22	3	240000 	4998454 
29	F	6	6	781200 	3509720 
34	F	0	4	770400 	3343147 
37	M	12	4	160000 	4384696 
20	M	0	1	137200 	3048073 
43	F	22	6	118800 	5205792 
42	M	18	7	449400 	4665769 
20	F	0	2	388800 	3024738 
47	F	8	1	43200 	3972475 
30	M	4	5	742500 	3534681 
23	M	2	7	1220800 	3319081 
20	F	0	2	206000 	3118099 
21	F	1	5	105000 	3169181 
27	M	3	6	698400 	3382754 
23	F	3	6	918000 	3427656 
41	M	7	7	955500 	3794620 
28	F	1	1	124800 	3254666 
27	F	2	2	166400 	3295428 
33	F	7	1	172800 	3744361 
27	F	5	1	119900 	3440252 
21	M	1	1	141000 	3075127 
32	M	4	6	741000 	3578462 
43	M	20	1	79200 	4434221 
28	M	5	7	364000 	3430224 
26	M	4	7	781200 	3478520 
36	M	12	2	387600 	3927363 
48	F	8	2	357000 	4126903 
47	M	13	4	214000 	4251065 
26	F	0	4	805600 	3237276 
38	M	17	7	1436400 	4433800 
26	M	6	3	508800 	3587025 
24	M	1	4	744800 	3310616 
43	M	0	4	540000 	3369071 
39	F	16	1	30000 	4809051 
32	M	1	1	38800 	3198134 
23	M	1	7	449400 	3126669 
27	F	3	1	140400 	3259439 
24	F	2	6	345600 	3265642 
50	M	29	2	102000 	5004943 
28	M	8	6	803400 	3754355 
25	M	2	5	472500 	3283835 
50	F	22	2	176000 	5233527 
44	M	19	2	180000 	4788310 
39	F	11	4	707200 	4272037 
26	F	5	3	232800 	3530604 
50	M	4	5	540000 	3679371 
20	M	0	1	10400 	3059595 
35	M	5	4	76000 	3428155 
27	M	2	2	54600 	3344536 
21	F	1	7	567000 	3148906 
46	M	26	2	333200 	5484035 
28	F	3	7	793100 	3454855 
48	M	23	1	130000 	4765924 
40	M	11	5	927000 	4453167 
40	M	20	2	171000 	4614998 
40	F	15	3	82800 	4842145 
37	M	13	3	30000 	4287051 
49	F	15	3	394800 	4624812 
28	M	1	5	381500 	3179474 
26	F	4	7	462000 	3582805 
31	M	4	6	420000 	3425984 
21	F	1	6	446400 	3211031 
28	M	2	6	1071000 	3506552 
44	M	22	1	46000 	4987383 
38	F	0	7	1038800 	3334859 
40	F	6	1	90000 	3663195 
41	F	6	3	270000 	3795525 
49	M	21	2	274400 	5024367 
29	F	0	2	42800 	3067016 
44	M	12	1	185300 	4078682 
37	F	1	6	1111800 	3453697 
37	M	13	6	990000 	4503148 
45	F	20	3	598500 	5210296 
31	M	10	5	735000 	4020288 
45	M	6	1	40800 	3772625 
45	F	17	3	486000 	4748702 
47	F	17	3	454500 	4841212 
24	M	4	5	582000 	3430092 
21	F	0	2	212000 	3069173 
40	F	19	3	237600 	4221204 
37	F	14	7	1414000 	4699136 
30	F	4	2	323200 	3477178 
30	M	10	3	576000 	4138017 
26	M	6	6	385200 	3633213 
39	F	4	5	535000 	3676143 
35	M	10	6	392400 	3801762 
20	F	0	5	162000 	2991687 
25	F	4	1	90900 	3476626 
32	F	6	1		3565398 
42	M	12	4	291200 	4239315 
48	F	19	1	18200 	4909132 
44	M	10	1	142800 	4055689 
31	M	9	5	800000 	3712460 
34	M	7	2	148800 	3579063 
38	F	6	7	1463000 	3846076 
48	F	13	4	777600 	4628096 
41	F	21	2	81600 	4731071 
34	F	9	4	720000 	4228802 
49	M	29	7	680400 	5801031 
33	M	6	4	684000 	3696656 
49	M	15	5	591500 	4275476 
32	F	1	5	765000 	3299560 
48	F	15	4	515200 	4573757 
44	M	9	3	545400 	3900758 
46	M	1	6	1176000 	3585653 
30	M	4	1	188100 	3539490 
48	F	28	6	907200 	5914682 
40	F	18	7	499800 	4415913 
23	M	3	7	762300 	3278966 
44	F	6	6	491400 	3751889 
44	M	12	3	507600 	4288850 
31	F	5	6	924000 	3669830 
29	F	4	6	873600 	3584085 
42	M	2	5	802500 	3502424 
24	M	0	5	186000 	3035984 
28	M	1	1	91000 	3241740 
50	M	16	4	639200 	4576827 
