id,loan,contact,day,month,duration,campaign,previous,y
169,no,telephone,6,feb,344.021737,5,0,1
170,yes,cellular,18,may,320.9390283,1,0,0
171,no,sending _document,14,may,418.2997245,1,0,1
172,no,cellular,10,sep,263.2562919,2,0,0
173,no,cellular,3,jun,,1,0,0
174,no,cellular,18,may,326.7715064,3,3,0
175,no,sending _document,19,jun,314.0244265,1,0,1
176,no,cellular,16,apr,248.5696607,1,0,0
177,no,cellular,4,feb,304.6496759,1,3,0
178,no,sending _document,28,may,367.13208,1,0,0
179,no,cellular,20,apr,299.5960698,1,0,0
180,no,cellular,14,apr,188.7875545,8,2,1
181,no,sending _document,14,may,,1,0,1
182,no,cellular,8,may,,3,0,1
183,no,cellular,20,nov,303.3430106,1,0,0
184,no,cellular,15,jul,465.2415947,1,0,0
185,no,sending _document,8,may,258.349014,1,0,0
186,no,cellular,23,jul,,1,0,0
187,no,cellular,11,aug,355.9136898,1,1,0
188,no,sending _document,16,jun,222.5654671,2,0,1
189,no,telephone,15,may,462.2360034,5,3,1
190,no,sending _document,12,jun,,1,0,0
191,no,cellular,3,feb,346.2544005,1,4,0
192,no,sending _document,13,may,291.312407,1,0,0
193,yes,sending _document,5,jun,487.2254556,2,0,1
194,yes,sending _document,16,jun,366.054707,4,0,0
195,no,sending _document,12,may,304.8298895,1,0,0
196,no,cellular,16,apr,,2,3,1
197,no,cellular,12,aug,,2,0,0
198,no,cellular,20,aug,,4,0,0
199,no,telephone,23,apr,,1,0,0
200,yes,cellular,24,jul,490.0253486,3,0,1
201,no,sending _document,28,may,339.1010805,10,0,0
202,no,cellular,19,aug,,4,0,0
203,no,sending _document,20,jun,231.4864559,2,0,1
204,no,cellular,17,nov,,1,0,0
205,no,sending _document,13,may,344.9184054,1,0,0
206,no,cellular,7,aug,,2,0,0
207,no,sending _document,20,jun,,2,0,0
208,no,cellular,3,feb,277.1477714,4,0,0
209,no,telephone,2,feb,,1,0,0
210,no,sending _document,9,may,305.8124591,1,0,0
211,no,sending _document,29,may,386.3157495,9,0,1
212,no,sending _document,24,jun,,4,0,0
213,no,sending _document,6,jun,464.5848621,2,0,1
214,no,cellular,20,nov,,1,0,0
215,no,cellular,15,jun,,1,0,0
216,no,cellular,11,feb,322.0593467,2,2,1
217,no,sending _document,16,jun,283.7815456,3,0,1
218,no,sending _document,6,jun,428.398744,3,0,1
219,no,cellular,23,sep,185.5420275,4,1,1
220,no,cellular,4,aug,,1,2,0
221,no,sending _document,15,may,467.4873221,2,0,0
222,no,cellular,13,aug,191.7131446,5,0,1
223,no,telephone,9,jul,,1,0,0
224,yes,telephone,20,nov,435.9779481,4,0,0
225,no,cellular,17,nov,353.2424163,2,0,0
226,no,cellular,3,feb,344.7522513,4,3,0
227,no,cellular,18,aug,319.8672182,3,0,1
228,no,cellular,22,oct,316.6946842,1,0,1
229,no,cellular,14,jul,378.0777351,3,0,0
230,no,cellular,29,jan,296.1173866,2,0,0
231,no,cellular,18,nov,352.1264029,2,2,0
232,yes,cellular,15,jul,452.9857154,3,0,1
233,no,sending _document,16,may,368.7344642,2,0,0
234,yes,cellular,8,jul,294.2124229,2,0,0
235,no,cellular,8,aug,261.2875862,2,0,0
236,yes,telephone,9,jul,233.0063257,1,0,0
237,no,cellular,27,aug,323.3462038,6,0,0
238,no,cellular,18,aug,230.3975375,7,0,0
239,no,cellular,15,apr,,2,0,0
240,no,cellular,18,feb,168.8725264,20,0,1
241,no,cellular,15,jul,136.602235,2,4,1
242,no,cellular,11,may,281.3827048,2,0,0
243,no,cellular,11,aug,,1,0,0
244,no,sending _document,29,may,305.4759332,2,0,0
245,no,cellular,17,jul,283.7131133,1,0,1
246,no,cellular,19,aug,,2,0,0
247,no,sending _document,2,jun,262.628351,3,0,0
248,no,cellular,6,may,,2,1,1
249,no,sending _document,9,may,437.2461571,4,0,1
250,no,sending _document,11,jun,,1,0,0
251,no,sending _document,16,may,299.6863733,7,0,0
252,yes,cellular,15,jul,274.8429412,3,0,0
253,no,cellular,4,feb,327.8263122,1,0,0
254,no,cellular,16,apr,409.9734772,1,1,0
255,yes,sending _document,3,jun,,4,0,1
256,no,cellular,2,mar,264.258248,2,0,1
257,no,cellular,8,apr,307.4968015,1,1,0
258,no,cellular,13,jan,,2,0,0
259,no,cellular,30,jul,,11,0,1
260,yes,cellular,25,jul,312.3702851,1,0,1
261,no,cellular,17,jul,382.5108544,1,0,1
262,yes,cellular,21,aug,222.285725,2,0,0
263,no,sending _document,21,may,298.5177291,1,0,0
264,no,sending _document,28,may,143.5135057,2,0,0
265,no,sending _document,6,may,,2,0,1
266,yes,cellular,9,jul,362.2577079,13,0,0
267,no,cellular,4,feb,,2,0,0
268,no,cellular,28,aug,,2,0,0
269,yes,sending _document,20,jun,270.2860139,1,0,0
270,yes,cellular,18,nov,442.2669205,1,0,0
271,no,sending _document,1,jul,190.0533878,1,0,0
272,yes,cellular,28,aug,506.0485087,3,0,1
273,yes,cellular,31,jul,,3,0,1
274,yes,cellular,15,may,447.9772202,2,5,1
275,no,cellular,28,aug,,11,0,0
276,no,sending _document,30,may,436.3342273,2,0,1
277,no,cellular,17,nov,215.2272924,1,0,0
278,no,cellular,15,apr,,1,0,0
279,no,cellular,20,nov,,2,0,1
280,yes,cellular,26,may,325.6772384,1,0,0
281,no,sending _document,9,jun,,3,0,0
282,no,cellular,19,nov,333.4211263,1,4,0
283,yes,sending _document,5,may,449.9540628,2,0,0
284,yes,cellular,15,apr,359.1841865,2,5,0
285,no,cellular,16,apr,336.218063,2,0,1
286,yes,cellular,3,feb,256.1232462,2,0,0
287,no,sending _document,26,may,341.1743046,3,0,1
288,no,cellular,29,aug,134.0166856,2,0,0
289,no,cellular,11,may,255.4434604,2,1,0
290,no,sending _document,6,jun,,5,0,0
291,no,cellular,30,apr,,1,2,0
292,no,sending _document,30,may,,1,0,1
293,no,sending _document,21,may,297.6985153,1,0,0
294,no,cellular,30,jan,307.6571608,2,1,0
295,no,telephone,4,sep,326.4364045,3,0,1
296,no,sending _document,16,may,300.9824554,2,0,0
297,no,sending _document,15,may,,1,0,0
298,no,cellular,13,jul,,1,0,0
299,yes,cellular,17,nov,271.4508761,1,0,0
300,yes,cellular,2,feb,243.9641622,1,0,0
301,no,cellular,30,jul,,6,0,1
302,yes,cellular,11,aug,281.7968163,8,0,0
303,no,sending _document,16,jun,,1,0,0
304,no,sending _document,6,jun,246.3706058,5,0,0
305,yes,cellular,21,nov,352.2526251,1,0,1
306,no,sending _document,14,may,377.6927109,1,0,0
307,no,sending _document,18,jun,251.37077,5,0,0
308,yes,cellular,8,may,494.4634926,1,2,1
309,no,sending _document,14,sep,,1,3,1
310,no,cellular,21,aug,117.620276,2,0,0
311,no,cellular,11,mar,,3,0,0
312,no,cellular,4,feb,,3,0,0
313,no,cellular,11,jul,337.647276,1,0,0
314,no,cellular,21,aug,278.0438079,3,0,1
315,no,cellular,10,feb,,2,4,0
316,no,sending _document,9,may,329.2113763,2,0,0
317,no,sending _document,29,may,338.2443159,5,0,1
318,no,sending _document,29,may,474.5777402,2,0,1
319,no,cellular,14,may,364.9581603,1,0,0
320,no,cellular,17,apr,368.3351677,5,1,1
321,no,sending _document,28,may,218.3538499,2,0,0
322,no,sending _document,3,jun,251.4196333,2,0,0
323,yes,cellular,15,may,276.4127447,1,0,0
324,no,cellular,24,jun,159.6617761,4,1,1
325,no,sending _document,9,may,355.5085802,2,0,1
326,no,cellular,29,jan,299.3291947,1,2,0
327,yes,cellular,19,nov,412.1181473,2,0,0
328,yes,sending _document,20,may,,2,0,1
329,no,telephone,30,jul,,2,0,0
330,no,cellular,6,feb,,2,0,0
331,no,cellular,15,oct,,1,5,0
332,no,cellular,28,jan,,1,0,0
333,yes,cellular,15,jul,,4,0,1
334,no,cellular,13,may,443.2120376,2,2,1
335,no,cellular,12,aug,423.7259279,4,0,1
336,no,telephone,19,nov,285.329486,1,0,0
337,no,telephone,22,aug,213.9021022,11,0,0
338,no,cellular,28,jan,,1,0,0
339,no,sending _document,28,may,260.5403087,2,0,0
340,yes,cellular,23,jul,290.4057305,1,0,0
341,yes,cellular,29,jan,556.2442128,2,0,1
342,no,cellular,18,may,264.6410595,2,0,0
343,no,sending _document,16,may,259.0039454,3,0,0
344,no,cellular,21,jul,261.600732,2,0,0
345,no,sending _document,7,may,370.7805824,1,0,0
346,no,telephone,29,aug,215.7557599,4,0,0
347,no,cellular,20,nov,303.103538,1,1,0
348,no,cellular,12,jun,198.4500533,6,0,1
349,no,cellular,23,oct,364.0364201,1,1,1
350,no,sending _document,16,jun,,2,0,0
351,no,cellular,17,apr,248.1492688,2,1,0
352,no,cellular,26,aug,299.1036217,6,5,1
353,yes,cellular,17,apr,341.4894006,2,0,0
354,no,cellular,18,jul,244.852981,1,0,0
355,no,cellular,20,nov,320.5949905,3,2,0
356,no,sending _document,13,may,322.6779864,2,0,1
357,no,cellular,7,dec,268.3667657,1,2,0
358,no,cellular,7,oct,,1,0,0
359,no,cellular,5,may,252.2824204,2,0,0
360,no,cellular,10,jul,347.6999455,1,0,0
361,yes,cellular,26,aug,222.2931279,4,0,1
362,no,cellular,18,nov,262.9681338,1,0,0
363,no,sending _document,3,jul,,2,0,0
364,no,cellular,7,aug,355.565355,7,0,1
365,no,sending _document,19,jun,254.7353155,1,0,0
366,no,cellular,23,jun,294.9310089,1,2,1
367,no,sending _document,27,jun,244.6927094,5,0,0
368,no,cellular,13,may,217.1725642,2,0,0
369,no,sending _document,28,may,251.324156,1,0,0
370,no,sending _document,27,may,308.3907048,1,0,0
371,yes,sending _document,2,jun,419.2442791,3,0,1
372,no,sending _document,18,jun,,2,0,0
373,yes,cellular,6,feb,257.7068609,3,0,0
374,no,cellular,14,may,350.0235569,1,3,1
375,no,cellular,11,may,311.8389892,1,2,0
376,no,cellular,20,nov,,1,0,0
377,no,cellular,30,apr,,1,0,0
378,no,cellular,11,aug,,4,0,0
379,yes,cellular,17,jul,,2,0,1
380,no,sending _document,17,jun,,3,0,0
381,no,cellular,4,aug,,1,0,0
382,no,sending _document,18,jun,,1,0,0
383,no,sending _document,19,jun,,3,0,0
384,no,cellular,22,apr,496.000422,1,0,1
385,no,cellular,16,apr,342.6005389,1,0,1
386,no,cellular,19,nov,352.7327348,3,0,1
387,no,cellular,24,jul,308.5155763,2,0,0
388,no,sending _document,12,jun,,1,0,0
389,no,cellular,22,jul,299.6315178,1,0,0
390,no,cellular,17,jul,305.8815556,1,0,0
391,no,sending _document,20,jun,269.6304154,37,0,0
392,no,sending _document,9,may,373.7160084,1,0,1
393,no,cellular,13,may,,1,1,1
394,no,cellular,21,nov,250.5100219,1,0,0
395,no,cellular,17,apr,343.5298218,1,0,1
396,no,telephone,26,feb,324.7784036,1,0,1
397,no,sending _document,2,jun,380.9243337,2,0,0
398,no,cellular,27,jan,,1,0,0
399,no,cellular,15,jul,250.4641434,2,3,0
400,no,cellular,15,may,340.4619695,2,5,0
401,yes,cellular,15,may,334.4268961,1,0,0
402,no,cellular,9,apr,258.3716028,12,1,0
403,no,cellular,12,aug,,6,0,0
404,no,cellular,18,aug,264.9268206,3,0,0
405,no,cellular,12,may,409.8607281,1,0,1
406,no,cellular,28,jan,399.2165267,1,1,0
407,yes,sending _document,9,jun,265.5253426,6,0,0
408,yes,sending _document,30,may,429.0328219,1,0,0
409,no,cellular,18,nov,,3,0,0
410,no,cellular,30,apr,253.8660471,1,5,1
411,no,sending _document,12,may,421.5516236,2,0,0
412,no,sending _document,12,may,284.7585727,1,0,0
413,no,cellular,19,aug,220.403349,4,0,1
414,no,cellular,5,aug,218.3594044,1,0,0
415,yes,cellular,30,jul,403.7130874,4,0,0
416,no,sending _document,4,jul,195.1105125,1,0,1
417,no,cellular,30,jul,341.4112887,3,0,0
418,no,sending _document,17,nov,267.5968256,2,21,0
419,no,cellular,7,aug,386.4011282,2,0,1
420,yes,telephone,21,nov,390.2537248,7,0,1
421,yes,cellular,29,jan,523.3870714,1,0,0
422,no,cellular,18,jul,270.5182512,3,0,0
423,no,sending _document,23,may,357.4065343,3,0,1
424,yes,cellular,13,aug,,2,0,1
425,no,cellular,27,aug,,3,0,0
426,no,sending _document,19,may,335.1566812,7,0,1
427,no,cellular,22,oct,,1,2,0
428,no,sending _document,5,may,418.2309235,1,0,1
429,no,cellular,20,apr,,3,0,1
430,no,sending _document,26,may,365.5205276,11,0,1
431,no,cellular,11,aug,246.9119544,1,0,0
432,no,sending _document,29,may,351.8463851,1,0,0
433,no,cellular,9,feb,291.7094911,10,0,0
434,no,cellular,30,apr,416.5102287,1,0,1
435,no,sending _document,2,jun,260.3795581,2,0,0
436,no,cellular,21,nov,371.1644141,2,0,1
437,no,cellular,7,aug,221.9779805,2,0,0
438,no,cellular,28,jan,,1,0,0
439,no,sending _document,29,may,372.9629238,6,0,1
440,no,sending _document,21,may,260.6483834,2,0,0
441,no,cellular,21,jul,,1,0,0
442,no,sending _document,12,may,,1,0,0
443,no,sending _document,3,jun,402.431199,1,0,1
444,no,sending _document,30,may,280.7225747,4,0,0
445,no,cellular,18,nov,348.928995,3,1,0
446,no,cellular,28,may,,2,1,0
447,yes,cellular,12,may,430.1992275,2,12,0
448,no,sending _document,13,may,245.4241829,2,0,0
449,no,cellular,19,aug,270.5476066,2,0,0
450,no,cellular,8,apr,,1,0,1
451,yes,cellular,10,jul,370.1034418,1,0,0
452,no,cellular,15,jul,327.6150464,3,0,1
453,no,cellular,29,jan,254.9492897,2,0,0
454,no,cellular,3,feb,317.7206877,6,7,0
455,no,cellular,7,jul,,3,0,1
456,no,cellular,5,aug,255.9695471,2,5,0
457,no,cellular,18,may,297.6565634,1,0,0
458,no,sending _document,23,may,296.8988499,1,0,0
459,yes,cellular,27,may,393.4512216,3,0,1
460,no,cellular,20,nov,233.7040967,1,0,0
461,no,cellular,20,apr,,3,0,0
462,no,cellular,14,may,269.6910791,1,1,0
463,no,sending _document,6,may,405.5881633,2,0,1
464,no,sending _document,23,may,362.8081282,4,0,1
465,no,cellular,13,aug,257.8499051,8,0,1
466,no,cellular,11,may,278.7914811,1,2,0
467,no,cellular,12,aug,,4,0,0
468,no,sending _document,7,may,367.2516887,1,0,0
469,no,cellular,13,may,369.7448333,2,2,1
470,no,cellular,13,aug,,4,0,1
471,no,telephone,20,apr,315.5375692,1,3,0
472,yes,cellular,29,aug,,2,0,0
473,no,cellular,7,aug,83.77884234,2,0,0
474,no,sending _document,8,may,338.4168018,1,0,0
475,no,cellular,5,may,270.3466253,2,8,0
476,no,cellular,22,aug,289.7678255,8,0,0
477,no,sending _document,27,may,412.5624681,1,0,1
478,no,cellular,14,may,,2,10,1
479,no,sending _document,9,jun,,2,0,0
480,no,cellular,29,jan,235.7383331,2,0,0
481,no,cellular,7,aug,378.6718822,3,0,1
482,yes,cellular,15,may,,1,0,1
483,no,cellular,10,mar,,1,0,0
484,yes,cellular,22,aug,270.5938184,6,0,0
485,no,cellular,21,aug,234.9148111,6,0,0
486,no,cellular,8,jul,,1,0,0
487,no,cellular,30,sep,,1,1,0
488,no,cellular,16,oct,179.7405926,2,0,0
489,no,cellular,5,may,251.699129,1,0,0
490,no,cellular,18,may,259.8859699,1,2,0
491,yes,cellular,6,may,506.7013066,4,0,0
492,no,cellular,26,aug,,1,2,0
493,no,cellular,6,apr,278.5546788,2,0,0
494,no,cellular,1,jun,369.0561027,1,2,1
495,no,cellular,11,aug,,3,0,0
496,no,cellular,16,jul,,2,0,0
497,yes,cellular,5,aug,322.2888452,1,0,0
498,no,cellular,6,feb,332.8180287,2,2,1
499,no,sending _document,1,jun,,1,0,0
500,no,telephone,5,feb,,1,3,0
501,no,sending _document,12,jun,256.5170298,1,0,0
502,no,sending _document,23,may,404.1069086,3,0,1
503,no,cellular,28,aug,189.9460019,25,0,1
504,no,cellular,21,nov,,3,0,0
505,no,cellular,2,jun,315.9477268,1,2,0
506,no,cellular,13,jul,178.0473487,3,1,1
507,no,telephone,21,nov,,3,0,1
508,yes,cellular,11,jul,415.0184642,2,0,0
509,no,cellular,8,jul,,1,0,0
510,yes,cellular,17,nov,502.2567324,2,0,0
511,no,cellular,12,may,315.6712401,4,3,0
512,no,cellular,11,aug,435.0710546,2,0,1
513,no,cellular,24,jul,,1,0,0
514,yes,cellular,21,nov,296.6723652,2,4,0
515,no,sending _document,26,may,247.2470827,5,0,0
516,no,cellular,12,may,284.5309258,1,0,0
517,no,cellular,17,apr,,2,0,1
518,no,cellular,17,jul,263.0699826,1,0,0
519,no,cellular,17,apr,382.891097,3,0,1
520,no,cellular,7,may,469.220046,2,2,1
521,yes,cellular,13,may,,2,1,1
522,no,cellular,19,nov,,1,0,0
523,no,cellular,25,sep,,1,1,1
524,no,cellular,28,aug,457.3090037,4,0,1
525,no,cellular,20,aug,,1,0,0
526,yes,cellular,31,jul,405.7196436,30,0,0
527,no,sending _document,7,may,336.7926175,2,0,0
528,no,sending _document,6,jun,199.848166,1,0,1
529,no,cellular,2,feb,425.988277,2,0,1
530,yes,sending _document,9,jun,428.2965834,2,0,1
531,no,sending _document,12,jun,237.5077382,1,0,0
532,no,cellular,6,apr,331.9661221,3,0,1
533,no,cellular,7,jul,420.5237393,5,0,0
534,yes,cellular,12,may,,1,0,1
535,no,cellular,21,aug,,2,0,0
536,no,sending _document,28,may,410.2673996,3,0,0
537,no,cellular,11,may,287.6330353,1,2,0
538,no,cellular,4,feb,354.7613107,2,0,0
539,no,cellular,9,feb,321.1070473,2,2,0
540,no,cellular,2,feb,,1,0,0
541,no,sending _document,20,jun,306.7399405,3,0,0
542,no,telephone,4,may,,6,2,1
543,no,telephone,28,jan,,4,0,0
544,no,telephone,7,sep,265.5901132,4,0,0
545,no,cellular,17,apr,336.9408163,1,2,0
546,yes,cellular,11,jul,435.233096,2,0,0
547,no,telephone,10,jul,235.9749377,10,0,1
548,no,sending _document,27,may,370.7687743,1,0,1
549,no,cellular,16,jul,366.5534475,1,0,1
550,no,cellular,11,aug,234.1802234,1,0,0
551,no,telephone,7,dec,357.2644459,6,0,1
552,no,cellular,6,aug,,3,0,0
553,no,cellular,14,aug,,8,0,0
554,yes,cellular,8,aug,377.4831797,2,0,0
555,no,telephone,27,mar,318.8250922,1,0,0
556,no,sending _document,12,jun,329.1810621,1,0,0
557,no,cellular,20,nov,356.8506573,2,2,0
558,no,sending _document,17,jun,220.6904629,3,0,0
559,no,cellular,27,aug,172.6533046,16,0,1
560,no,cellular,16,apr,313.8914943,1,1,0
561,no,sending _document,4,jun,344.8225181,3,0,1
562,no,cellular,17,nov,,2,0,0
563,no,cellular,30,jan,433.4475854,3,0,1
564,no,cellular,15,may,371.1512985,2,0,0
565,yes,cellular,8,jul,413.0278388,1,0,1
566,no,sending _document,9,may,343.1472771,1,0,0
567,no,cellular,18,nov,335.9606064,1,2,0
568,no,cellular,6,may,376.8199554,1,0,0
569,no,telephone,28,jan,259.5416977,2,0,0
570,yes,cellular,2,feb,347.0442979,2,0,0
571,no,sending _document,23,may,285.7791537,2,0,0
572,no,cellular,6,may,372.0093244,2,0,0
573,no,sending _document,19,jun,174.0859255,4,0,0
574,no,cellular,30,jan,304.2675993,3,2,1
575,no,cellular,29,jul,,2,0,0
576,no,sending _document,29,may,362.5898688,2,0,1
577,no,cellular,26,aug,,5,0,0
578,no,cellular,29,jul,,7,0,0
579,no,cellular,30,apr,,2,0,0
580,no,cellular,3,feb,364.2366037,3,4,1
581,no,cellular,20,nov,,3,2,1
582,yes,cellular,2,feb,512.105827,1,0,1
583,no,cellular,7,aug,245.5732392,3,0,0
584,no,cellular,22,may,,1,2,0
585,no,cellular,10,jul,195.6143666,1,0,0
586,no,sending _document,21,may,246.7460553,2,0,0
587,no,cellular,11,jul,274.3394691,1,0,0
588,no,cellular,18,aug,,4,0,0
589,no,cellular,13,aug,126.2046639,5,0,1
