生年月日,投打,年齢,ポジション,プロ通算年,出身地,身長,血液型,体重,推定年俸,経歴,試合,勝利,敗北,セーブ,ホールド,HP,完投,完封勝,無四球,勝率,打者,投球回,被安打,被本塁打,与四球,敬遠,与死球,奪三振,暴投,ボーク,失点,自責点,防御率,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
1992-04-22,左投左打,29,投手,5,ベネズエラ,188,不明,102,"16,000",インスティテゥトディオセサノバルキシメト高 - レッドソックス - ダイヤモンドバックス,61,4,4,1,32,36,0,0,0,0.5,229,58.2,39,7,11,0,4,50,0,0,23,22,3.38,0.85,5.98,1.07,7.67,2.3,3.73,4.55,0.681,1.04
1986-06-21,右投右打,35,投手,17,千葉,185,A型,85,"16,000",横浜高,21,6,8,0,0,0,0,0,0,0.429,420,96.1,110,7,26,0,2,76,4,0,57,54,5.04,1.41,10.28,0.65,7.1,2.62,3.36,2.92,0.641,1.06
1990-08-22,右投右打,31,投手,3,アメリカ,185,不明,81,"15,600",ケネソー州大 - ツインズ,31,1,0,0,4,5,0,0,0,1,124,29,32,1,9,0,0,23,2,0,16,16,4.97,1.41,9.93,0.31,7.14,2.79,2.91,2.56,0.625,1.1
1995-12-08,左投左打,26,投手,5,キューバ,178,不明,69,"15,000",エイデデピナールデルリオ高 - キューバ・ピナールデルリオ,33,1,0,5,14,15,0,0,0,1,128,31.1,15,2,19,2,1,42,0,0,6,4,1.15,1.09,4.31,0.57,12.06,5.74,2.99,2.21,0.939,1.95
1984-03-08,右投右打,37,投手,13,京都,186,O型,88,"15,000",鳥羽高 - 京都産業大,46,1,3,29,3,4,0,0,0,0.25,163,43,30,4,9,0,0,37,1,0,11,11,2.3,0.91,6.28,0.84,7.74,1.88,3.24,4.11,0.8,1.07
1981-02-21,左投左打,41,投手,15,島根,179,O型,80,"15,000",浜田高 - 早稲田大,18,5,6,0,0,0,0,0,0,0.455,396,94.1,95,14,27,1,3,83,0,0,49,47,4.48,1.29,9.06,1.34,7.92,2.86,4.21,3.07,0.703,1.17
1991-06-17,右投右打,30,投手,8,長崎,187,AB型,90,"15,000",長崎日大高 - 九州共立大,23,10,5,0,0,0,1,1,0,0.667,600,146.2,136,12,31,2,5,102,1,0,57,50,3.07,1.14,8.35,0.74,6.26,2.21,3.49,3.29,0.763,0.91
1998-08-17,右投右打,23,投手,5,岡山,178,AB型,80,"15,000",都城高,26,18,5,0,0,0,6,4,1,0.783,736,193.2,124,7,40,1,2,206,3,0,37,30,1.39,0.85,5.76,0.33,9.57,1.95,2.1,5.15,0.855,1.27
1988-09-01,右投右打,33,投手,9,秋田,182,A型,75,"15,000",金足農 - 東北福祉大 - ヤマハ,58,0,5,10,9,9,0,0,0,0,226,55,54,6,10,0,0,64,1,1,23,22,3.6,1.16,8.84,0.98,10.47,1.64,2.76,6.4,0.724,1.35
1989-11-23,左投左打,32,投手,10,沖縄,172,O型,71,"14,000",八重山農林高 - ビッグ開発ベースボールクラブ - JX-ENEOS,58,1,0,0,19,20,0,0,0,1,121,28.2,22,2,13,1,1,27,0,0,16,15,4.71,1.22,6.91,0.63,8.48,4.4,3.5,2.08,0.618,1.4
1990-10-22,右投右打,31,投手,2,アメリカ,199,不明,106,"13,000",バンダービルト大 - タイガース,20,5,8,0,0,1,0,0,0,0.385,407,96,90,7,33,1,6,100,1,0,45,41,3.84,1.28,8.44,0.66,9.38,3.66,3.17,3.03,0.721,1.39
1986-09-19,右投左打,35,投手,11,茨城,169,O型,75,"12,000",藤代高 - 中央大 - 東京ガス,21,6,7,0,0,0,0,0,0,0.462,506,115.1,139,15,32,1,4,92,4,0,72,63,4.92,1.48,10.85,1.17,7.18,2.81,4.13,2.88,0.7,1.08
1989-06-24,右投右打,32,投手,10,岡山,177,AB型,84,"12,000",広陵高 - 明治大,8,0,4,0,0,0,0,0,0,0,171,35.2,48,6,17,2,2,29,2,0,25,25,6.31,1.82,12.11,1.51,7.32,4.79,5.11,1.71,0.689,1.29
1984-11-10,右投右打,37,投手,9,静岡,177,A型,85,"11,000",静清工 - 平成国際大 - 日本通運,17,0,0,0,2,2,0,0,0,0,72,16.1,17,2,3,0,1,5,0,0,10,6,3.31,1.22,9.37,1.1,2.76,2.2,4.83,1.67,0.789,0.49
1988-04-11,右投右打,33,投手,8,富山,186,A型,80,"11,000",富山・滑川高 - 中部大 - 東京ガス,12,6,3,0,0,0,2,0,1,0.667,310,80,73,10,9,0,0,42,0,0,30,30,3.38,1.03,8.21,1.13,4.73,1.01,4.03,4.67,0.722,0.64
1990-05-07,右投両打,31,投手,9,福岡,176,A型,80,"11,000",福岡工 - 法政大,59,3,5,23,1,4,0,0,0,0.375,246,57.1,66,8,12,1,0,57,3,0,31,26,4.08,1.36,10.36,1.26,8.95,1.88,3.52,4.75,0.743,1.2
1999-11-02,右投右打,22,投手,3,アメリカ,198,不明,101,"11,000",イースタンフロリダ州大,11,0,2,0,1,1,0,0,0,0,112,23.2,21,0,21,0,1,36,4,0,18,16,6.08,1.77,7.99,0,13.69,8.37,2.87,1.71,0.628,2.41
1989-10-31,右投右打,32,投手,3,アメリカ,180,不明,86,"10,500",オレゴン大 - マーリンズ,66,3,2,31,14,17,0,0,0,0.6,259,64.1,43,7,23,2,3,76,3,0,19,18,2.52,1.03,6.02,0.98,10.63,3.64,3.29,3.3,0.823,1.54
