atemp,dteday,hum,temp,windspeed
0.292908,2011/3/29,0.314167,0.3025,0.226996
0.29735,2011/3/30,0.646667,0.3,0.172888
0.257575,2011/3/31,0.918333,0.268333,0.217646
0.283454,2011/4/1,0.68625,0.3,0.258708
0.315637,2011/4/2,0.65375,0.315,0.197146
0.378767,2011/4/3,0.48,0.378333,0.182213
0.542929,2011/4/4,0.42625,0.573333,0.385571
0.39835,2011/4/5,0.642083,0.414167,0.388067
0.387608,2011/4/6,0.470833,0.390833,0.263063
0.433696,2011/4/7,0.602917,0.4375,0.162312
0.324479,2011/4/8,0.83625,0.335833,0.226992
0.341529,2011/4/9,0.8775,0.3425,0.133083
0.426737,2011/4/10,0.8575,0.426667,0.146767
0.565217,2011/4/11,0.716956,0.1,0.324474
0.493054,2011/4/12,0.739167,0.5025,0.274879
0.417283,2011/4/13,0.819167,0.4125,0.250617
0.462742,2011/4/14,0.540417,0.4675,0.1107
0.441913,2011/4/15,0.67125,0.446667,0.226375
0.425492,2011/4/16,0.888333,0.430833,0.340808
0.445696,2011/4/17,0.479583,0.456667,0.303496
0.503146,2011/4/18,0.5425,0.5125,0.163567
0.489258,2011/4/19,0.665833,0.505833,0.157971
0.564392,2011/4/20,0.614167,0.595,0.241925
0.453892,2011/4/21,0.407083,0.459167,0.325258
0.321954,2011/4/22,0.729583,0.336667,0.219521
0.450121,2011/4/23,0.887917,0.46,0.230725
0.551763,2011/4/24,0.810833,0.581667,0.192175
0.5745,2011/4/25,0.776667,0.606667,0.185333
0.594083,2011/4/26,0.729167,0.631667,0.3265
0.575142,2011/4/27,0.835417,0.62,0.3122
0.578929,2011/4/28,0.700833,0.6175,0.320908
0.497463,2011/4/29,0.457083,0.51,0.240063
0.464021,2011/4/30,0.503333,0.4725,0.235075
0.448204,2011/5/1,0.762083,0.451667,0.106354
0.532833,2011/5/2,0.73,0.549167,0.183454
0.582079,2011/5/3,0.697083,0.616667,0.342667
0.40465,2011/5/4,0.737083,0.414167,0.328996
0.441917,2011/5/5,0.444167,0.459167,0.295392
0.474117,2011/5/6,0.59,0.479167,0.228246
0.512621,2011/5/7,0.54125,0.52,0.16045
0.518933,2011/5/8,0.631667,0.528333,0.0746375
0.525246,2011/5/9,0.58875,0.5325,0.176
0.522721,2011/5/10,0.489167,0.5325,0.115671
0.5284,2011/5/11,0.632917,0.5425,0.120642
0.523363,2011/5/12,0.7475,0.535,0.189667
0.4943,2011/5/13,0.863333,0.5125,0.179725
0.500629,2011/5/14,0.9225,0.520833,0.13495
0.536,2011/5/15,0.867083,0.5625,0.152979
0.550512,2011/5/16,0.787917,0.5775,0.126871
0.538529,2011/5/17,0.837917,0.561667,0.277354
0.527158,2011/5/18,0.87,0.55,0.201492
0.510742,2011/5/19,0.829583,0.530833,0.108213
0.529042,2011/5/20,0.719583,0.536667,0.125013
0.571975,2011/5/21,0.626667,0.6025,0.12065
0.5745,2011/5/22,0.749583,0.604167,0.148008
0.590296,2011/5/23,0.81,0.631667,0.233842
0.604813,2011/5/24,0.740833,0.66,0.207092
0.615542,2011/5/25,0.69625,0.660833,0.154233
0.654688,2011/5/26,0.6775,0.708333,0.199642
0.637008,2011/5/27,0.65375,0.681667,0.240679
0.612379,2011/5/28,0.729583,0.655833,0.230092
0.61555,2011/5/29,0.81875,0.6675,0.213938
0.671092,2011/5/30,0.685,0.733333,0.131225
0.725383,2011/5/31,0.636667,0.775,0.111329
0.720967,2011/6/1,0.677083,0.764167,0.207092
0.643942,2011/6/2,0.305,0.715,0.292287
0.587133,2011/6/3,0.354167,0.62,0.253121
0.594696,2011/6/4,0.45625,0.635,0.123142
0.616804,2011/6/5,0.6525,0.648333,0.138692
0.621858,2011/6/6,0.6,0.678333,0.121896
0.65595,2011/6/7,0.597917,0.7075,0.187808
0.727279,2011/6/8,0.622083,0.775833,0.136817
0.757579,2011/6/9,0.568333,0.808333,0.149883
0.703292,2011/6/10,0.605,0.755,0.140554
0.678038,2011/6/11,0.654583,0.725,0.15485
0.643325,2011/6/12,0.747917,0.6925,0.163567
0.601654,2011/6/13,0.494583,0.635,0.30535
0.591546,2011/6/14,0.507083,0.604167,0.269283
0.587754,2011/6/15,0.471667,0.626667,0.167912
0.595346,2011/6/16,0.688333,0.628333,0.206471
0.600383,2011/6/17,0.735833,0.649167,0.143029
0.643954,2011/6/18,0.670417,0.696667,0.119408
0.645846,2011/6/19,0.666667,0.699167,0.102
0.595346,2011/6/20,0.74625,0.635,0.155475
0.637646,2011/6/21,0.770417,0.680833,0.171025
0.693829,2011/6/22,0.7075,0.733333,0.172262
0.693833,2011/6/23,0.703333,0.728333,0.238804
0.656583,2011/6/24,0.573333,0.724167,0.222025
0.643313,2011/6/25,0.483333,0.695,0.209571
0.637629,2011/6/26,0.513333,0.68,0.0945333
0.637004,2011/6/27,0.658333,0.6825,0.107588
0.692558,2011/6/28,0.634167,0.744167,0.144283
0.654688,2011/6/29,0.497917,0.728333,0.261821
0.637008,2011/6/30,0.434167,0.696667,0.185312
0.652162,2011/7/1,0.39625,0.7225,0.102608
0.667308,2011/7/2,0.444583,0.738333,0.115062
0.668575,2011/7/3,0.6825,0.716667,0.228858
0.665417,2011/7/4,0.637917,0.726667,0.0814792
0.696338,2011/7/5,0.590417,0.746667,0.126258
0.685633,2011/7/6,0.743333,0.72,0.149883
0.686871,2011/7/7,0.65125,0.75,0.1592
0.670483,2011/7/8,0.757917,0.709167,0.225129
0.664158,2011/7/9,0.609167,0.733333,0.167912
0.690025,2011/7/10,0.578333,0.7475,0.183471
0.729804,2011/7/11,0.635833,0.7625,0.282337
0.739275,2011/7/12,0.559167,0.794167,0.200254
0.689404,2011/7/13,0.631667,0.746667,0.146133
0.635104,2011/7/14,0.47625,0.680833,0.240667
0.624371,2011/7/15,0.59125,0.663333,0.182833
0.638263,2011/7/16,0.585,0.686667,0.208342
0.669833,2011/7/17,0.604167,0.719167,0.245033
0.703925,2011/7/18,0.65125,0.746667,0.215804
0.747479,2011/7/19,0.650417,0.776667,0.1306
0.826371,2011/7/21,0.69125,0.815,0.222021
,2011/7/22,0.580417,0.848333,0.1331
0.804287,2011/7/23,0.5,0.849167,0.131221
0.794829,2011/7/24,0.550833,0.83,0.169171
0.720958,2011/7/25,0.757083,0.743333,0.0908083
0.696979,2011/7/26,0.540833,0.771667,0.200258
0.690667,2011/7/27,0.402917,0.775,0.183463
0.7399,2011/7/28,0.583333,0.779167,0.178479
0.785967,2011/7/29,0.5425,0.838333,0.174138
0.728537,2011/7/30,0.465833,0.804167,0.168537
0.729796,2011/7/31,0.480833,0.805833,0.164813
0.703292,2011/8/1,0.550833,0.771667,0.156717
0.707071,2011/8/2,0.49125,0.783333,0.20585
0.679937,2011/8/3,0.6575,0.731667,0.135583
0.664788,2011/8/4,0.7575,0.71,0.19715
0.656567,2011/8/5,0.630833,0.710833,0.184696
0.676154,2011/8/6,0.755,0.716667,0.22825
0.715292,2011/8/7,0.752917,0.7425,0.201487
0.703283,2011/8/8,0.592083,0.765,0.192175
0.724121,2011/8/9,0.570417,0.775,0.151121
0.684983,2011/8/10,0.424167,0.766667,0.200258
0.651521,2011/8/11,0.42375,0.7175,0.164796
0.654042,2011/8/12,0.415,0.708333,0.125621
0.645858,2011/8/13,0.729583,0.685833,0.211454
0.624388,2011/8/14,0.8175,0.676667,0.222633
0.616167,2011/8/15,0.712083,0.665833,0.208954
0.645837,2011/8/16,0.578333,0.700833,0.236329
0.666671,2011/8/17,0.575417,0.723333,0.143667
0.662258,2011/8/18,0.654583,0.711667,0.233208
0.633221,2011/8/19,0.722917,0.685,0.139308
0.648996,2011/8/20,0.674167,0.6975,0.104467
0.675525,2011/8/21,0.77,0.710833,0.248754
0.638254,2011/8/22,0.47,0.691667,0.27675
0.606067,2011/8/23,0.455417,0.640833,0.146763
0.630692,2011/8/24,0.605,0.673333,0.253108
0.645854,2011/8/25,0.771667,0.684167,0.210833
0.659733,2011/8/26,0.76125,0.7,0.0839625
0.635556,2011/8/27,0.85,0.68,0.375617
0.647959,2011/8/28,0.561765,0.707059,0.304659
0.607958,2011/8/29,0.554583,0.636667,0.159825
0.594704,2011/8/30,0.548333,0.639167,0.125008
0.611121,2011/8/31,0.597917,0.656667,0.0833333
0.614921,2011/9/1,0.639167,0.655,0.141796
0.604808,2011/9/2,0.727083,0.643333,0.139929
0.633213,2011/9/3,0.716667,0.669167,0.185325
0.665429,2011/9/4,0.742083,0.709167,0.206467
0.625646,2011/9/5,0.790417,0.673333,0.212696
0.5152,2011/9/6,0.886957,0.54,0.343943
0.544229,2011/9/7,0.917083,0.599167,0.0970208
0.555361,2011/9/8,0.939565,0.633913,0.192748
0.578946,2011/9/9,0.897917,0.65,0.124379
0.607962,2011/9/10,0.75375,0.66,0.153608
0.609229,2011/9/11,0.71375,0.653333,0.115054
0.60213,2011/9/12,0.692174,0.644348,0.088913
0.603554,2011/9/13,0.7125,0.650833,0.141804
0.6269,2011/9/14,0.697083,0.673333,0.1673
0.553671,2011/9/15,0.709167,0.5775,0.271146
0.461475,2011/9/16,0.590417,0.469167,0.164183
0.478512,2011/9/17,0.718333,0.491667,0.189675
0.490537,2011/9/18,0.695,0.5075,0.178483
0.529675,2011/9/19,0.69,0.549167,0.151742
0.532217,2011/9/20,0.88125,0.561667,0.134954
0.550533,2011/9/21,0.9,0.595,0.0964042
0.554963,2011/9/22,0.902083,0.628333,0.128125
0.522125,2011/9/23,0.9725,0.609167,0.0783667
0.564412,2011/9/24,0.8625,0.606667,0.0783833
0.572637,2011/9/25,0.845,0.634167,0.0503792
0.589042,2011/9/26,0.848333,0.649167,0.1107
0.574525,2011/9/27,0.885417,0.636667,0.118171
0.575158,2011/9/28,0.84875,0.635,0.148629
0.574512,2011/9/29,0.699167,0.616667,0.172883
0.544829,2011/9/30,0.6475,0.564167,0.206475
0.412863,2011/10/1,0.75375,0.41,0.292296
0.345317,2011/10/2,0.791667,0.356667,0.222013
0.392046,2011/10/3,0.760833,0.384167,0.0833458
0.472858,2011/10/4,0.71,0.484167,0.205854
0.527138,2011/10/5,0.647917,0.538333,0.17725
0.480425,2011/10/6,0.620833,0.494167,0.134954
0.504404,2011/10/7,0.684167,0.510833,0.0223917
0.513242,2011/10/8,0.70125,0.521667,0.0454042
0.523983,2011/10/9,0.7275,0.540833,0.06345
0.542925,2011/10/10,0.73375,0.570833,0.0423042
0.546096,2011/10/11,0.80875,0.566667,0.143042
0.517717,2011/10/12,0.90625,0.543333,0.24815
0.551804,2011/10/13,0.896667,0.589167,0.141787
0.529675,2011/10/14,0.71625,0.550833,0.223883
0.498725,2011/10/15,0.483333,0.506667,0.258083
0.503154,2011/10/16,0.486667,0.511667,0.281717
0.510725,2011/10/17,0.579583,0.534167,0.175379
0.522721,2011/10/18,0.701667,0.5325,0.110087
0.513848,2011/10/19,0.895217,0.541739,0.243339
0.466525,2011/10/20,0.63625,0.475833,0.422275
0.423596,2011/10/21,0.574167,0.4275,0.221396
0.425492,2011/10/22,0.629167,0.4225,0.0926667
0.422333,2011/10/23,0.74125,0.421667,0.0995125
0.457067,2011/10/24,0.772083,0.463333,0.118792
0.463375,2011/10/25,0.622917,0.471667,0.166658
0.472846,2011/10/26,0.720417,0.484167,0.148642
0.457046,2011/10/27,0.812917,0.47,0.197763
0.318812,2011/10/28,0.585833,0.330833,0.229479
0.227913,2011/10/29,0.8825,0.254167,0.351371
0.321329,2011/10/30,0.62375,0.319167,0.176617
0.356063,2011/10/31,0.703333,0.34,0.10635
0.397088,2011/11/1,0.68375,0.400833,0.135571
0.390133,2011/11/2,0.71875,0.3775,0.0820917
0.405921,2011/11/3,0.702083,0.408333,0.136817
0.403392,2011/11/4,0.6225,0.403333,0.271779
0.323854,2011/11/5,0.519167,0.326667,0.189062
0.362358,2011/11/6,0.734583,0.348333,0.0920542
0.400871,2011/11/7,0.75875,0.395,0.057225
0.412246,2011/11/8,0.721667,0.408333,0.0690375
0.409079,2011/11/9,0.758333,0.4,0.0621958
0.373721,2011/11/10,0.813333,0.38,0.189067
0.306817,2011/11/11,0.44625,0.324167,0.314675
0.357942,2011/11/12,0.552917,0.356667,0.212062
0.43055,2011/11/13,0.458333,0.440833,0.281721
0.524612,2011/11/14,0.587083,0.53,0.306596
0.507579,2011/11/15,0.68875,0.53,0.199633
0.451988,2011/11/16,0.93,0.456667,0.136829
0.323221,2011/11/17,0.575833,0.341667,0.305362
0.272721,2011/11/18,0.41,0.274167,0.168533
0.324483,2011/11/19,0.502083,0.329167,0.224496
0.457058,2011/11/20,0.684583,0.463333,0.18595
0.445062,2011/11/21,0.91,0.4475,0.138054
0.421696,2011/11/22,0.9625,0.416667,0.118792
0.430537,2011/11/23,0.757917,0.440833,0.335825
0.372471,2011/11/24,0.549167,0.373333,0.167304
0.380671,2011/11/25,0.64375,0.375,0.0988958
0.385087,2011/11/26,0.681667,0.375833,0.0684208
0.4558,2011/11/27,0.698333,0.459167,0.208954
0.490122,2011/11/28,0.743043,0.503478,0.142122
0.451375,2011/11/29,0.830833,0.458333,0.258092
0.311221,2011/11/30,0.613333,0.325,0.271158
0.305554,2011/12/1,0.524583,0.3125,0.220158
0.331433,2011/12/2,0.625833,0.314167,0.100754
0.310604,2011/12/3,0.612917,0.299167,0.0957833
0.3491,2011/12/4,0.775833,0.330833,0.0839583
0.393925,2011/12/5,0.827083,0.385833,0.0622083
0.4564,2011/12/6,0.949583,0.4625,0.232583
0.400246,2011/12/7,0.970417,0.41,0.266175
0.256938,2011/12/8,0.58,0.265833,0.240058
0.317542,2011/12/9,0.695833,0.290833,0.0827167
0.266412,2011/12/10,0.5075,0.275,0.233221
0.253154,2011/12/11,0.49,0.220833,0.0665417
0.270196,2011/12/12,0.670833,0.238333,0.06345
0.301138,2011/12/13,0.59,0.2825,0.14055
0.338362,2011/12/14,0.66375,0.3175,0.0609583
0.412237,2011/12/15,0.634167,0.4225,0.268042
0.359825,2011/12/16,0.500417,0.375,0.260575
0.249371,2011/12/17,0.560833,0.258333,0.243167
0.245579,2011/12/18,0.58625,0.238333,0.169779
0.280933,2011/12/19,0.6375,0.276667,0.172896
0.396454,2011/12/20,0.595417,0.385833,0.0615708
0.428017,2011/12/21,0.858333,0.428333,0.2214
0.426121,2011/12/22,0.7575,0.423333,0.047275
0.377513,2011/12/23,0.68625,0.373333,0.274246
0.299242,2011/12/24,0.5425,0.3025,0.190304
0.279961,2011/12/25,0.681304,0.274783,0.155091
0.315535,2011/12/26,0.506957,0.321739,0.239465
0.327633,2011/12/27,0.7625,0.325,0.18845
0.279974,2011/12/28,0.503913,0.29913,0.293961
0.263892,2011/12/29,0.574167,0.248333,0.119412
0.318812,2011/12/30,0.636667,0.311667,0.134337
0.414121,2011/12/31,0.615833,0.41,0.220154
0.375621,2012/1/1,0.6925,0.37,0.192167
0.252304,2012/1/2,0.381304,0.273043,0.329665
0.126275,2012/1/3,0.44125,0.15,0.365671
0.119337,2012/1/4,0.414583,0.1075,0.1847
0.278412,2012/1/5,0.524167,0.265833,0.129987
0.340267,2012/1/6,0.542083,0.334167,0.167908
0.390779,2012/1/7,0.531667,0.393333,0.174758
0.340258,2012/1/8,0.465,0.3375,0.191542
0.247479,2012/1/9,0.701667,0.224167,0.0989
0.318826,2012/1/10,0.646522,0.308696,0.187552
0.282821,2012/1/11,0.8475,0.274167,0.131221
0.381938,2012/1/12,0.802917,0.3825,0.180967
0.249362,2012/1/13,0.5075,0.274167,0.378108
0.183087,2012/1/14,0.4575,0.18,0.187183
0.161625,2012/1/15,0.419167,0.166667,0.251258
0.190663,2012/1/16,0.5225,0.19,0.231358
0.364278,2012/1/17,0.716087,0.373043,0.34913
0.275254,2012/1/18,0.443333,0.303333,0.415429
0.190038,2012/1/19,0.4975,0.19,0.220158
0.220958,2012/1/20,0.45,0.2175,0.20275
0.174875,2012/1/21,0.83125,0.173333,0.222642
0.16225,2012/1/22,0.79625,0.1625,0.199638
0.243058,2012/1/23,0.91125,0.218333,0.110708
0.349108,2012/1/24,0.835833,0.3425,0.123767
0.294821,2012/1/25,0.64375,0.294167,0.161071
0.35605,2012/1/26,0.769583,0.341667,0.0733958
0.415383,2012/1/27,0.74125,0.425,0.342667
0.326379,2012/1/28,0.543333,0.315833,0.210829
0.272721,2012/1/29,0.31125,0.2825,0.24005
0.262625,2012/1/30,0.400833,0.269167,0.215792
0.381317,2012/1/31,0.416667,0.39,0.261817
0.466538,2012/2/1,0.507917,0.469167,0.189067
0.398971,2012/2/2,0.672917,0.399167,0.187187
0.309346,2012/2/3,0.526667,0.313333,0.178496
0.272725,2012/2/4,0.779583,0.264167,0.121896
0.264521,2012/2/5,0.687917,0.265833,0.175996
0.296426,2012/2/6,0.622174,0.282609,0.1538
0.361104,2012/2/7,0.49625,0.354167,0.147379
0.266421,2012/2/8,0.722917,0.256667,0.133721
0.261988,2012/2/9,0.562083,0.265,0.194037
0.293558,2012/2/10,0.54,0.280833,0.116929
0.210867,2012/2/11,0.73125,0.224167,0.289796
0.101658,2012/2/12,0.464583,0.1275,0.409212
0.227913,2012/2/13,0.41125,0.2225,0.167283
0.333946,2012/2/14,0.50875,0.319167,0.141179
0.351629,2012/2/15,0.53125,0.348333,0.1816
0.330162,2012/2/16,0.752917,0.316667,0.091425
0.351629,2012/2/17,0.634583,0.343333,0.205846
0.355425,2012/2/18,0.534583,0.346667,0.190929
0.265788,2012/2/19,0.515833,0.28,0.253112
0.273391,2012/2/20,0.507826,0.28,0.229083
0.295113,2012/2/21,0.594348,0.287826,0.205717
0.392667,2012/2/22,0.567917,0.395833,0.234471
0.444446,2012/2/23,0.554583,0.454167,0.190913
0.410971,2012/2/24,0.7375,0.4075,0.237567
0.255675,2012/2/25,0.395833,0.290833,0.421642
0.268308,2012/2/26,0.41,0.279167,0.205229
0.357954,2012/2/27,0.490833,0.366667,0.268033
0.353525,2012/2/28,0.395833,0.359167,0.193417
0.34847,2012/2/29,0.804783,0.344348,0.179117
0.475371,2012/3/1,0.615417,0.485833,0.226987
0.359842,2012/3/2,0.657083,0.353333,0.144904
0.413492,2012/3/3,0.62125,0.414167,0.161079
0.303021,2012/3/4,0.403333,0.325833,0.334571
0.241171,2012/3/5,0.50625,0.243333,0.228858
0.255042,2012/3/6,0.456667,0.258333,0.200875
0.3851,2012/3/7,0.513333,0.404167,0.345779
0.524604,2012/3/8,0.5675,0.5275,0.441563
0.397083,2012/3/9,0.407083,0.410833,0.4148
0.277767,2012/3/10,0.350417,0.2875,0.22575
0.35967,2012/3/11,0.476957,0.361739,0.222587
0.459592,2012/3/12,0.489167,0.466667,0.207713
0.542929,2012/3/13,0.6175,0.565,0.23695
0.548617,2012/3/14,0.507083,0.5725,0.115062
0.532825,2012/3/15,0.579583,0.5575,0.149883
0.436229,2012/3/16,0.842083,0.435833,0.113192
0.505046,2012/3/17,0.755833,0.514167,0.110704
0.464,2012/3/18,0.81,0.4725,0.126883
0.532821,2012/3/19,0.72875,0.545,0.162317
0.538533,2012/3/20,0.807917,0.560833,0.121271
0.513258,2012/3/21,0.82125,0.531667,0.0895583
0.531567,2012/3/22,0.83125,0.554167,0.117562
0.570067,2012/3/23,0.694167,0.601667,0.1163
0.486733,2012/3/24,0.885417,0.5025,0.192783
0.437488,2012/3/25,0.880833,0.4375,0.220775
0.43875,2012/3/26,0.477917,0.445833,0.386821
0.315654,2012/3/27,0.29,0.323333,0.187192
0.47095,2012/3/28,0.48125,0.484167,0.291671
0.482304,2012/3/29,0.439167,0.494167,0.31965
0.375621,2012/3/30,0.580833,0.37,0.138067
0.421708,2012/3/31,0.738333,0.424167,0.250617
0.417287,2012/4/1,0.67625,0.425833,0.172267
0.427513,2012/4/2,0.504348,0.433913,0.312139
0.461483,2012/4/3,0.396667,0.466667,0.100133
0.53345,2012/4/4,0.469583,0.541667,0.180975
0.431163,2012/4/5,0.374167,0.435,0.219529
0.390767,2012/4/6,0.377083,0.403333,0.300388
0.426129,2012/4/7,0.254167,0.4375,0.274871
0.492425,2012/4/8,0.275833,0.5,0.232596
0.476638,2012/4/9,0.3175,0.489167,0.358196
0.436233,2012/4/10,0.435,0.446667,0.249375
0.337274,2012/4/11,0.469565,0.348696,0.295274
0.387604,2012/4/12,0.46625,0.3975,0.290429
0.431808,2012/4/13,0.408333,0.4425,0.155471
0.487996,2012/4/14,0.502917,0.495,0.190917
0.573875,2012/4/15,0.507917,0.606667,0.225129
0.614925,2012/4/16,0.561667,0.664167,0.284829
0.598487,2012/4/17,0.390417,0.608333,0.273629
0.457038,2012/4/18,0.569167,0.463333,0.167912
0.493046,2012/4/19,0.6125,0.498333,0.0659292
0.515775,2012/4/20,0.694583,0.526667,0.149871
0.542921,2012/4/21,0.682917,0.57,0.283587
0.389504,2012/4/22,0.835417,0.396667,0.344546
0.301125,2012/4/23,0.766667,0.321667,0.303496
0.405283,2012/4/24,0.454167,0.413333,0.249383
0.470317,2012/4/25,0.427917,0.476667,0.118792
0.483583,2012/4/26,0.756667,0.498333,0.176625
0.452637,2012/4/27,0.400833,0.4575,0.347633
0.377504,2012/4/28,0.489583,0.376667,0.129975
0.450121,2012/4/29,0.587083,0.458333,0.116908
0.457696,2012/4/30,0.57,0.464167,0.171638
0.577021,2012/5/1,0.659583,0.613333,0.156096
0.537896,2012/5/2,0.797083,0.564167,0.138058
0.537242,2012/5/3,0.768333,0.56,0.133696
0.590917,2012/5/4,0.735417,0.6275,0.162938
0.584608,2012/5/5,0.756667,0.621667,0.152992
0.546737,2012/5/6,0.74,0.5625,0.149879
0.527142,2012/5/7,0.664167,0.5375,0.230721
0.557471,2012/5/8,0.685833,0.581667,0.296029
0.553025,2012/5/9,0.744167,0.575,0.216412
0.491783,2012/5/10,0.552083,0.505833,0.314063
0.520833,2012/5/11,0.360417,0.533333,0.236937
0.544817,2012/5/12,0.480417,0.564167,0.123133
0.585238,2012/5/13,0.57625,0.6125,0.225117
0.5499,2012/5/14,0.789583,0.573333,0.212692
0.576404,2012/5/15,0.794583,0.611667,0.147392
0.595975,2012/5/16,0.697917,0.636667,0.122512
0.572613,2012/5/17,0.52,0.593333,0.229475
0.551121,2012/5/18,0.523333,0.564167,0.136817
0.566908,2012/5/19,0.45625,0.6,0.083975
0.583967,2012/5/20,0.530417,0.620833,0.254367
0.565667,2012/5/21,0.81125,0.598333,0.233204
0.580825,2012/5/22,0.765833,0.615,0.118167
0.584612,2012/5/23,0.774583,0.621667,0.102
0.6067,2012/5/24,0.716667,0.655,0.172896
0.627529,2012/5/25,0.747083,0.68,0.14055
0.642696,2012/5/26,0.7325,0.6925,0.198992
0.641425,2012/5/27,0.697083,0.69,0.215171
0.6793,2012/5/28,0.67625,0.7125,0.196521
0.672992,2012/5/29,0.684583,0.7225,0.2954
0.611129,2012/5/30,0.67,0.656667,0.134329
0.631329,2012/5/31,0.492917,0.68,0.195279
0.607962,2012/6/1,0.755417,0.654167,0.237563
0.566288,2012/6/2,0.549167,0.583333,0.186562
0.575133,2012/6/3,0.493333,0.6025,0.184087
0.578283,2012/6/4,0.487083,0.5975,0.284833
0.525892,2012/6/5,0.613333,0.540833,0.209575
