乗客ID,年齢,兄弟と配偶者,親と子供,チケット番号,運賃,客室番号,出港地
270,35,0,0,PC 17760,135.6333,C99,S
271,,0,0,113798,31,,S
272,25,0,0,LINE,0,,S
273,41,0,1,250644,19.5,,S
274,37,0,1,PC 17596,29.7,C118,C
275,,0,0,370375,7.75,,Q
276,63,1,0,13502,77.9583,D7,S
277,45,0,0,347073,7.75,,S
278,,0,0,239853,0,,S
279,7,4,1,382652,29.125,,Q
280,35,1,1,C.A. 2673,20.25,,S
281,65,0,0,336439,7.75,,Q
282,28,0,0,347464,7.8542,,S
283,16,0,0,345778,9.5,,S
284,19,0,0,A/5. 10482,8.05,,S
285,,0,0,113056,26,A19,S
286,33,0,0,349239,8.6625,,C
287,30,0,0,345774,9.5,,S
288,22,0,0,349206,7.8958,,S
289,42,0,0,237798,13,,S
290,22,0,0,370373,7.75,,Q
291,26,0,0,19877,78.85,,S
292,19,1,0,11967,91.0792,B49,C
293,36,0,0,SC/Paris 2163,12.875,D,C
294,24,0,0,349236,8.85,,S
295,24,0,0,349233,7.8958,,S
296,,0,0,PC 17612,27.7208,,C
297,23.5,0,0,2693,7.2292,,C
298,2,1,2,113781,151.55,C22 C26,S
299,,0,0,19988,30.5,C106,S
300,50,0,1,PC 17558,247.5208,B58 B60,C
301,,0,0,9234,7.75,,Q
302,,2,0,367226,23.25,,Q
303,19,0,0,LINE,0,,S
304,,0,0,226593,12.35,E101,Q
305,,0,0,A/5 2466,8.05,,S
306,0.92,1,2,113781,151.55,C22 C26,S
307,,0,0,17421,110.8833,,C
308,17,1,0,PC 17758,108.9,C65,C
309,30,1,0,P/PP 3381,24,,C
310,30,0,0,PC 17485,56.9292,E36,C
311,24,0,0,11767,83.1583,C54,C
312,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C
313,26,1,1,250651,26,,S
314,28,0,0,349243,7.8958,,S
315,43,1,1,F.C.C. 13529,26.25,,S
316,26,0,0,347470,7.8542,,S
317,24,1,0,244367,26,,S
318,54,0,0,29011,14,,S
319,31,0,2,36928,164.8667,C7,S
320,40,1,1,16966,134.5,E34,C
321,22,0,0,A/5 21172,7.25,,S
322,27,0,0,349219,7.8958,,S
323,30,0,0,234818,12.35,,Q
324,22,1,1,248738,29,,S
325,,8,2,CA. 2343,69.55,,S
326,36,0,0,PC 17760,135.6333,C32,C
327,61,0,0,345364,6.2375,,S
328,36,0,0,28551,13,D,S
329,31,1,1,363291,20.525,,S
330,16,0,1,111361,57.9792,B18,C
331,,2,0,367226,23.25,,Q
332,45.5,0,0,113043,28.5,C124,S
333,38,0,1,PC 17582,153.4625,C91,S
334,16,2,0,345764,18,,S
335,,1,0,PC 17611,133.65,,S
336,,0,0,349225,7.8958,,S
337,29,1,0,113776,66.6,C2,S
338,41,0,0,16966,134.5,E40,C
339,45,0,0,7598,8.05,,S
340,45,0,0,113784,35.5,T,S
341,2,1,1,230080,26,F2,S
342,24,3,2,19950,263,C23 C25 C27,S
343,28,0,0,248740,13,,S
344,25,0,0,244361,13,,S
345,36,0,0,229236,13,,S
346,24,0,0,248733,13,F33,S
347,40,0,0,31418,13,,S
348,,1,0,386525,16.1,,S
349,3,1,1,C.A. 37671,15.9,,S
350,42,0,0,315088,8.6625,,S
351,23,0,0,7267,9.225,,S
352,,0,0,113510,35,C128,S
353,15,1,1,2695,7.2292,,C
354,25,1,0,349237,17.8,,S
355,,0,0,2647,7.225,,C
356,28,0,0,345783,9.5,,S
357,22,0,1,113505,55,E33,S
358,38,0,0,237671,13,,S
359,,0,0,330931,7.8792,,Q
360,,0,0,330980,7.8792,,Q
361,40,1,4,347088,27.9,,S
362,29,1,0,SC/PARIS 2167,27.7208,,C
363,45,0,1,2691,14.4542,,C
364,35,0,0,SOTON/O.Q. 3101310,7.05,,S
365,,1,0,370365,15.5,,Q
366,30,0,0,C 7076,7.25,,S
367,60,1,0,110813,75.25,D37,C
368,,0,0,2626,7.2292,,C
369,,0,0,14313,7.75,,Q
370,24,0,0,PC 17477,69.3,B35,C
371,25,1,0,11765,55.4417,E50,C
372,18,1,0,3101267,6.4958,,S
373,19,0,0,323951,8.05,,S
374,22,0,0,PC 17760,135.6333,,C
375,3,3,1,349909,21.075,,S
376,,1,0,PC 17604,82.1708,,C
377,22,0,0,C 7077,7.25,,S
378,27,0,2,113503,211.5,C82,C
379,20,0,0,2648,4.0125,,C
380,19,0,0,347069,7.775,,S
381,42,0,0,PC 17757,227.525,,C
382,1,0,2,2653,15.7417,,C
383,32,0,0,STON/O 2. 3101293,7.925,,S
384,35,1,0,113789,52,,S
385,,0,0,349227,7.8958,,S
386,18,0,0,S.O.C. 14879,73.5,,S
387,1,5,2,CA 2144,46.9,,S
388,36,0,0,27849,13,,S
389,,0,0,367655,7.7292,,Q
390,17,0,0,SC 1748,12,,C
391,36,1,2,113760,120,B96 B98,S
392,21,0,0,350034,7.7958,,S
393,28,2,0,3101277,7.925,,S
394,23,1,0,35273,113.275,D36,C
395,24,0,2,PP 9549,16.7,G6,S
396,22,0,0,350052,7.7958,,S
397,31,0,0,350407,7.8542,,S
398,46,0,0,28403,26,,S
399,23,0,0,244278,10.5,,S
400,28,0,0,240929,12.65,,S
401,39,0,0,STON/O 2. 3101289,7.925,,S
402,26,0,0,341826,8.05,,S
403,21,1,0,4137,9.825,,S
404,28,1,0,STON/O2. 3101279,15.85,,S
405,20,0,0,315096,8.6625,,S
406,34,1,0,28664,21,,S
407,51,0,0,347064,7.75,,S
408,3,1,1,29106,18.75,,S
409,21,0,0,312992,7.775,,S
410,,3,1,4133,25.4667,,S
411,,0,0,349222,7.8958,,S
412,,0,0,394140,6.8583,,Q
413,33,1,0,19928,90,C78,Q
414,,0,0,239853,0,,S
415,44,0,0,STON/O 2. 3101269,7.925,,S
416,,0,0,343095,8.05,,S
417,34,1,1,28220,32.5,,S
418,18,0,2,250652,13,,S
419,30,0,0,28228,13,,S
420,10,0,2,345773,24.15,,S
421,,0,0,349254,7.8958,,C
422,21,0,0,A/5. 13032,7.7333,,Q
423,29,0,0,315082,7.875,,S
424,28,1,1,347080,14.4,,S
425,18,1,1,370129,20.2125,,S
426,,0,0,A/4. 34244,7.25,,S
427,28,1,0,2003,26,,S
428,19,0,0,250655,26,,S
429,,0,0,364851,7.75,,Q
430,32,0,0,SOTON/O.Q. 392078,8.05,E10,S
431,28,0,0,110564,26.55,C52,S
432,,1,0,376564,16.1,,S
433,42,1,0,SC/AH 3085,26,,S
434,17,0,0,STON/O 2. 3101274,7.125,,S
435,50,1,0,13507,55.9,E44,S
436,14,1,2,113760,120,B96 B98,S
437,21,2,2,W./C. 6608,34.375,,S
438,24,2,3,29106,18.75,,S
439,64,1,4,19950,263,C23 C25 C27,S
440,31,0,0,C.A. 18723,10.5,,S
441,45,1,1,F.C.C. 13529,26.25,,S
442,20,0,0,345769,9.5,,S
443,25,1,0,347076,7.775,,S
444,28,0,0,230434,13,,S
445,,0,0,65306,8.1125,,S
446,4,0,2,33638,81.8583,A34,S
447,13,0,1,250644,19.5,,S
448,34,0,0,113794,26.55,,S
449,5,2,1,2666,19.2583,,C
450,52,0,0,113786,30.5,C104,S
451,36,1,2,C.A. 34651,27.75,,S
452,,1,0,65303,19.9667,,S
453,30,0,0,113051,27.75,C111,C
454,49,1,0,17453,89.1042,C92,C
455,,0,0,A/5 2817,8.05,,S
456,29,0,0,349240,7.8958,,C
457,65,0,0,13509,26.55,E38,S
458,,1,0,17464,51.8625,D21,S
459,50,0,0,F.C.C. 13531,10.5,,S
460,,0,0,371060,7.75,,Q
461,48,0,0,19952,26.55,E12,S
462,34,0,0,364506,8.05,,S
463,47,0,0,111320,38.5,E63,S
464,48,0,0,234360,13,,S
465,,0,0,A/S 2816,8.05,,S
466,38,0,0,SOTON/O.Q. 3101306,7.05,,S
467,,0,0,239853,0,,S
468,56,0,0,113792,26.55,,S
469,,0,0,36209,7.725,,Q
470,0.75,2,1,2666,19.2583,,C
471,,0,0,323592,7.25,,S
472,38,0,0,315089,8.6625,,S
473,33,1,2,C.A. 34651,27.75,,S
474,23,0,0,SC/AH Basle 541,13.7917,D,C
475,22,0,0,7553,9.8375,,S
476,,0,0,110465,52,A14,S
477,34,1,0,31027,21,,S
478,29,1,0,3460,7.0458,,S
479,22,0,0,350060,7.5208,,S
480,2,0,1,3101298,12.2875,,S
481,9,5,2,CA 2144,46.9,,S
482,,0,0,239854,0,,S
483,50,0,0,A/5 3594,8.05,,S
484,63,0,0,4134,9.5875,,S
485,25,1,0,11967,91.0792,B49,C
486,,3,1,4133,25.4667,,S
487,35,1,0,19943,90,C93,S
488,58,0,0,11771,29.7,B37,C
489,30,0,0,A.5. 18509,8.05,,S
490,9,1,1,C.A. 37671,15.9,,S
491,,1,0,65304,19.9667,,S
492,21,0,0,SOTON/OQ 3101317,7.25,,S
493,55,0,0,113787,30.5,C30,S
494,71,0,0,PC 17609,49.5042,,C
495,21,0,0,A/4 45380,8.05,,S
496,,0,0,2627,14.4583,,C
497,54,1,0,36947,78.2667,D20,C
498,,0,0,C.A. 6212,15.1,,S
499,25,1,2,113781,151.55,C22 C26,S
500,24,0,0,350035,7.7958,,S
501,17,0,0,315086,8.6625,,S
502,21,0,0,364846,7.75,,Q
503,,0,0,330909,7.6292,,Q
504,37,0,0,4135,9.5875,,S
505,16,0,0,110152,86.5,B79,S
506,18,1,0,PC 17758,108.9,C65,C
507,33,0,2,26360,26,,S
508,,0,0,111427,26.55,,S
509,28,0,0,C 4001,22.525,,S
510,26,0,0,1601,56.4958,,S
511,29,0,0,382651,7.75,,Q
512,,0,0,SOTON/OQ 3101316,8.05,,S
513,36,0,0,PC 17473,26.2875,E25,S
514,54,1,0,PC 17603,59.4,,C
515,24,0,0,349209,7.4958,,S
516,47,0,0,36967,34.0208,D46,S
517,34,0,0,C.A. 34260,10.5,F33,S
518,,0,0,371110,24.15,,Q
519,36,1,0,226875,26,,S
520,32,0,0,349242,7.8958,,S
521,30,0,0,12749,93.5,B73,S
522,22,0,0,349252,7.8958,,S
523,,0,0,2624,7.225,,C
524,44,0,1,111361,57.9792,B18,C
525,,0,0,2700,7.2292,,C
526,40.5,0,0,367232,7.75,,Q
527,50,0,0,W./C. 14258,10.5,,S
528,,0,0,PC 17483,221.7792,C95,S
529,39,0,0,3101296,7.925,,S
530,23,2,1,29104,11.5,,S
531,2,1,1,26360,26,,S
532,,0,0,2641,7.2292,,C
533,17,1,1,2690,7.2292,,C
534,,0,2,2668,22.3583,,C
535,30,0,0,315084,8.6625,,S
536,7,0,2,F.C.C. 13529,26.25,,S
537,45,0,0,113050,26.55,B38,S
538,30,0,0,PC 17761,106.425,,C
539,,0,0,364498,14.5,,S
540,22,0,2,13568,49.5,B39,C
541,36,0,2,WE/P 5735,71,B22,S
542,9,4,2,347082,31.275,,S
543,11,4,2,347082,31.275,,S
544,32,1,0,2908,26,,S
545,50,1,0,PC 17761,106.425,C86,C
546,64,0,0,693,26,,S
547,19,1,0,2908,26,,S
548,,0,0,SC/PARIS 2146,13.8625,,C
549,33,1,1,363291,20.525,,S
550,8,1,1,C.A. 33112,36.75,,S
551,17,0,2,17421,110.8833,C70,C
552,27,0,0,244358,26,,S
553,,0,0,330979,7.8292,,Q
554,22,0,0,2620,7.225,,C
555,22,0,0,347085,7.775,,S
556,62,0,0,113807,26.55,,S
557,48,1,0,11755,39.6,A16,C
558,,0,0,PC 17757,227.525,,C
559,39,1,1,110413,79.65,E67,S
560,36,1,0,345572,17.4,,S
561,,0,0,372622,7.75,,Q
562,40,0,0,349251,7.8958,,S
563,28,0,0,218629,13.5,,S
564,,0,0,SOTON/OQ 392082,8.05,,S
565,,0,0,SOTON/O.Q. 392087,8.05,,S
566,24,2,0,A/4 48871,24.15,,S
567,19,0,0,349205,7.8958,,S
568,29,0,4,349909,21.075,,S
569,,0,0,2686,7.2292,,C
570,32,0,0,350417,7.8542,,S
571,62,0,0,S.W./PP 752,10.5,,S
572,53,2,0,11769,51.4792,C101,S
573,36,0,0,PC 17474,26.3875,E25,S
574,,0,0,14312,7.75,,Q
575,16,0,0,A/4. 20589,8.05,,S
576,19,0,0,358585,14.5,,S
577,34,0,0,243880,13,,S
578,39,1,0,13507,55.9,E44,S
579,,1,0,2689,14.4583,,C
580,32,0,0,STON/O 2. 3101286,7.925,,S
581,25,1,1,237789,30,,S
582,39,1,1,17421,110.8833,C68,C
583,54,0,0,28403,26,,S
584,36,0,0,13049,40.125,A10,C
585,,0,0,3411,8.7125,,C
586,18,0,2,110413,79.65,E68,S
587,47,0,0,237565,15,,S
588,60,1,1,13567,79.2,B41,C
589,22,0,0,14973,8.05,,S
590,,0,0,A./5. 3235,8.05,,S
591,35,0,0,STON/O 2. 3101273,7.125,,S
592,52,1,0,36947,78.2667,D20,C
593,47,0,0,A/5 3902,7.25,,S
594,,0,2,364848,7.75,,Q
595,37,1,0,SC/AH 29037,26,,S
596,36,1,1,345773,24.15,,S
597,,0,0,248727,33,,S
598,49,0,0,LINE,0,,S
599,,0,0,2664,7.225,,C
600,49,1,0,PC 17485,56.9292,A20,C
601,24,2,1,243847,27,,S
602,,0,0,349214,7.8958,,S
603,,0,0,113796,42.4,,S
604,44,0,0,364511,8.05,,S
605,35,0,0,111426,26.55,,C
606,36,1,0,349910,15.55,,S
607,30,0,0,349246,7.8958,,S
608,27,0,0,113804,30.5,,S
609,22,1,2,SC/Paris 2123,41.5792,,C
610,40,0,0,PC 17582,153.4625,C125,S
611,39,1,5,347082,31.275,,S
612,,0,0,SOTON/O.Q. 3101305,7.05,,S
613,,1,0,367230,15.5,,Q
614,,0,0,370377,7.75,,Q
615,35,0,0,364512,8.05,,S
616,24,1,2,220845,65,,S
617,34,1,1,347080,14.4,,S
618,26,1,0,A/5. 3336,16.1,,S
619,4,2,1,230136,39,F4,S
620,26,0,0,31028,10.5,,S
621,27,1,0,2659,14.4542,,C
622,42,1,0,11753,52.5542,D19,S
623,20,1,1,2653,15.7417,,C
624,21,0,0,350029,7.8542,,S
625,21,0,0,54636,16.1,,S
626,61,0,0,36963,32.3208,D50,S
627,57,0,0,219533,12.35,,Q
628,21,0,0,13502,77.9583,D9,S
629,26,0,0,349224,7.8958,,S
630,,0,0,334912,7.7333,,Q
631,80,0,0,27042,30,A23,S
632,51,0,0,347743,7.0542,,S
633,32,0,0,13214,30.5,B50,C
634,,0,0,112052,0,,S
635,9,3,2,347088,27.9,,S
636,28,0,0,237668,13,,S
637,32,0,0,STON/O 2. 3101292,7.925,,S
638,31,1,1,C.A. 31921,26.25,,S
639,41,0,5,3101295,39.6875,,S
640,,1,0,376564,16.1,,S
641,20,0,0,350050,7.8542,,S
642,24,0,0,PC 17477,69.3,B35,C
643,2,3,2,347088,27.9,,S
644,,0,0,1601,56.4958,,S
645,0.75,2,1,2666,19.2583,,C
646,48,1,0,PC 17572,76.7292,D33,C
647,19,0,0,349231,7.8958,,S
648,56,0,0,13213,35.5,A26,C
649,,0,0,S.O./P.P. 751,7.55,,S
650,23,0,0,CA. 2314,7.55,,S
651,,0,0,349221,7.8958,,S
652,18,0,1,231919,23,,S
653,21,0,0,8475,8.4333,,S
654,,0,0,330919,7.8292,,Q
655,18,0,0,365226,6.75,,Q
656,24,2,0,S.O.C. 14879,73.5,,S
657,,0,0,349223,7.8958,,S
658,32,1,1,364849,15.5,,Q
659,23,0,0,29751,13,,S
660,58,0,2,35273,113.275,D48,C
661,50,2,0,PC 17611,133.65,,S
662,40,0,0,2623,7.225,,C
663,47,0,0,5727,25.5875,E58,S
664,36,0,0,349210,7.4958,,S
665,20,1,0,STON/O 2. 3101285,7.925,,S
666,32,2,0,S.O.C. 14879,73.5,,S
667,25,0,0,234686,13,,S
668,,0,0,312993,7.775,,S
669,43,0,0,A/5 3536,8.05,,S
670,,1,0,19996,52,C126,S
671,40,1,1,29750,39,,S
672,31,1,0,F.C. 12750,52,B71,S
673,70,0,0,C.A. 24580,10.5,,S
674,31,0,0,244270,13,,S
675,,0,0,239856,0,,S
676,18,0,0,349912,7.775,,S
677,24.5,0,0,342826,8.05,,S
678,18,0,0,4138,9.8417,,S
679,43,1,6,CA 2144,46.9,,S
680,36,0,1,PC 17755,512.3292,B51 B53 B55,C
681,,0,0,330935,8.1375,,Q
682,27,0,0,PC 17572,76.7292,D49,C
683,20,0,0,6563,9.225,,S
684,14,5,2,CA 2144,46.9,,S
685,60,1,1,29750,39,,S
686,25,1,2,SC/Paris 2123,41.5792,,C
687,14,4,1,3101295,39.6875,,S
688,19,0,0,349228,10.1708,,S
689,18,0,0,350036,7.7958,,S
690,15,0,1,24160,211.3375,B5,S
691,31,1,0,17474,57,B20,S
692,4,0,1,349256,13.4167,,C
693,,0,0,1601,56.4958,,S
694,25,0,0,2672,7.225,,C
695,60,0,0,113800,26.55,,S
696,52,0,0,248731,13.5,,S
697,44,0,0,363592,8.05,,S
698,,0,0,35852,7.7333,,Q
699,49,1,1,17421,110.8833,C68,C
700,42,0,0,348121,7.65,F G63,S
701,18,1,0,PC 17757,227.525,C62 C64,C
