乗客ID,生存,乗客クラス,名前,性別
169,0,1,name169,male
170,0,3,name170,male
171,0,1,name171,male
172,0,3,name172,male
173,1,3,name173,female
174,0,3,name174,male
175,0,1,name175,male
176,0,3,name176,male
177,0,3,name177,male
178,0,1,name178,female
179,0,2,name179,male
180,0,3,name180,male
181,0,3,name181,female
182,0,2,name182,male
183,0,3,name183,male
184,1,2,name184,male
185,1,3,name185,female
186,0,1,name186,male
187,1,3,name187,female
188,1,1,name188,male
189,0,3,name189,male
190,0,3,name190,male
191,1,2,name191,female
192,0,2,name192,male
193,1,3,name193,female
194,1,2,name194,male
195,1,1,name195,female
196,1,1,name196,female
197,0,3,name197,male
198,0,3,name198,male
199,1,3,name199,female
200,0,2,name200,female
201,0,3,name201,male
202,0,3,name202,male
203,0,3,name203,male
204,0,3,name204,male
205,1,3,name205,male
206,0,3,name206,female
207,0,3,name207,male
208,1,3,name208,male
209,1,3,name209,female
210,1,1,name210,male
211,0,3,name211,male
212,1,2,name212,female
213,0,3,name213,male
214,0,2,name214,male
215,0,3,name215,male
216,1,1,name216,female
217,1,3,name217,female
218,0,2,name218,male
219,1,1,name219,female
220,0,2,name220,male
221,1,3,name221,male
222,0,2,name222,male
223,0,3,name223,male
224,0,3,name224,male
225,1,1,name225,male
226,0,3,name226,male
227,1,2,name227,male
228,0,3,name228,male
229,0,2,name229,male
230,0,3,name230,female
231,1,1,name231,female
232,0,3,name232,male
233,0,2,name233,male
234,1,3,name234,female
235,0,2,name235,male
236,0,3,name236,female
237,0,2,name237,male
238,1,2,name238,female
239,0,2,name239,male
240,0,2,name240,male
241,0,3,name241,female
242,1,3,name242,female
243,0,2,name243,male
244,0,3,name244,male
245,0,3,name245,male
246,0,1,name246,male
247,0,3,name247,female
248,1,2,name248,female
249,1,1,name249,male
250,0,2,name250,male
251,0,3,name251,male
252,0,3,name252,female
253,0,1,name253,male
254,0,3,name254,male
255,0,3,name255,female
256,1,3,name256,female
257,1,1,name257,female
258,1,1,name258,female
259,1,1,name259,female
260,1,2,name260,female
261,0,3,name261,male
262,1,3,name262,male
263,0,1,name263,male
264,0,1,name264,male
265,0,3,name265,female
266,0,2,name266,male
267,0,3,name267,male
268,1,3,name268,male
269,1,1,name269,female
270,1,1,name270,female
271,0,1,name271,male
272,1,3,name272,male
273,1,2,name273,female
274,0,1,name274,male
275,1,3,name275,female
276,1,1,name276,female
277,0,3,name277,female
278,0,2,name278,male
279,0,3,name279,male
280,1,3,name280,female
281,0,3,name281,male
282,0,3,name282,male
283,0,3,name283,male
284,1,3,name284,male
285,0,1,name285,male
286,0,3,name286,male
287,1,3,name287,male
288,0,3,name288,male
289,1,2,name289,male
290,1,3,name290,female
291,1,1,name291,female
292,1,1,name292,female
293,0,2,name293,male
294,0,3,name294,female
295,0,3,name295,male
296,0,1,name296,male
297,0,3,name297,male
298,0,1,name298,female
299,1,1,name299,male
300,1,1,name300,female
301,1,3,name301,female
302,1,3,name302,male
303,0,3,name303,male
304,1,2,name304,female
305,0,3,name305,male
306,1,1,name306,male
307,1,1,name307,female
308,1,1,name308,female
309,0,2,name309,male
310,1,1,name310,female
311,1,1,name311,female
312,1,1,name312,female
313,0,2,name313,female
314,0,3,name314,male
315,0,2,name315,male
316,1,3,name316,female
317,1,2,name317,female
318,0,2,name318,male
319,1,1,name319,female
320,1,1,name320,female
321,0,3,name321,male
322,0,3,name322,male
323,1,2,name323,female
324,1,2,name324,female
325,0,3,name325,male
326,1,1,name326,female
327,0,3,name327,male
328,1,2,name328,female
329,1,3,name329,female
330,1,1,name330,female
331,1,3,name331,female
332,0,1,name332,male
333,0,1,name333,male
334,0,3,name334,male
335,1,1,name335,female
336,0,3,name336,male
337,0,1,name337,male
338,1,1,name338,female
339,1,3,name339,male
340,0,1,name340,male
341,1,2,name341,male
342,1,1,name342,female
343,0,2,name343,male
344,0,2,name344,male
345,0,2,name345,male
346,1,2,name346,female
347,1,2,name347,female
348,1,3,name348,female
349,1,3,name349,male
350,0,3,name350,male
351,0,3,name351,male
352,0,1,name352,male
353,0,3,name353,male
354,0,3,name354,male
355,0,3,name355,male
356,0,3,name356,male
357,1,1,name357,female
358,0,2,name358,female
359,1,3,name359,female
360,1,3,name360,female
361,0,3,name361,male
362,0,2,name362,male
363,0,3,name363,female
364,0,3,name364,male
365,0,3,name365,male
366,0,3,name366,male
367,1,1,name367,female
368,1,3,name368,female
369,1,3,name369,female
370,1,1,name370,female
371,1,1,name371,male
372,0,3,name372,male
373,0,3,name373,male
374,0,1,name374,male
375,0,3,name375,female
376,1,1,name376,female
377,1,3,name377,female
378,0,1,name378,male
379,0,3,name379,male
380,0,3,name380,male
381,1,1,name381,female
382,1,3,name382,female
383,0,3,name383,male
384,1,1,name384,female
385,0,3,name385,male
386,0,2,name386,male
387,0,3,name387,male
388,1,2,name388,female
389,0,3,name389,male
390,1,2,name390,female
391,1,1,name391,male
392,1,3,name392,male
393,0,3,name393,male
394,1,1,name394,female
395,1,3,name395,female
396,0,3,name396,male
397,0,3,name397,female
398,0,2,name398,male
399,0,2,name399,male
400,1,2,name400,female
401,1,3,name401,male
402,0,3,name402,male
403,0,3,name403,female
404,0,3,name404,male
405,0,3,name405,female
406,0,2,name406,male
407,0,3,name407,male
408,1,2,name408,male
409,0,3,name409,male
410,0,3,name410,female
411,0,3,name411,male
412,0,3,name412,male
413,1,1,name413,female
414,0,2,name414,male
415,1,3,name415,male
416,0,3,name416,female
417,1,2,name417,female
418,1,2,name418,female
419,0,2,name419,male
420,0,3,name420,female
421,0,3,name421,male
422,0,3,name422,male
423,0,3,name423,male
424,0,3,name424,female
425,0,3,name425,male
426,0,3,name426,male
427,1,2,name427,female
428,1,2,name428,female
429,0,3,name429,male
430,1,3,name430,male
431,1,1,name431,male
432,1,3,name432,female
433,1,2,name433,female
434,0,3,name434,male
435,0,1,name435,male
436,1,1,name436,female
437,0,3,name437,female
438,1,2,name438,female
439,0,1,name439,male
440,0,2,name440,male
441,1,2,name441,female
442,0,3,name442,male
443,0,3,name443,male
444,1,2,name444,female
445,1,3,name445,male
446,1,1,name446,male
447,1,2,name447,female
448,1,1,name448,male
449,1,3,name449,female
450,1,1,name450,male
451,0,2,name451,male
452,0,3,name452,male
453,0,1,name453,male
454,1,1,name454,male
455,0,3,name455,male
456,1,3,name456,male
457,0,1,name457,male
458,1,1,name458,female
459,1,2,name459,female
460,0,3,name460,male
461,1,1,name461,male
462,0,3,name462,male
463,0,1,name463,male
464,0,2,name464,male
465,0,3,name465,male
466,0,3,name466,male
467,0,2,name467,male
468,0,1,name468,male
469,0,3,name469,male
470,1,3,name470,female
471,0,3,name471,male
472,0,3,name472,male
473,1,2,name473,female
474,1,2,name474,female
475,0,3,name475,female
476,0,1,name476,male
477,0,2,name477,male
478,0,3,name478,male
479,0,3,name479,male
480,1,3,name480,female
481,0,3,name481,male
482,0,2,name482,male
483,0,3,name483,male
484,1,3,name484,female
485,1,1,name485,male
486,0,3,name486,female
487,1,1,name487,female
488,0,1,name488,male
489,0,3,name489,male
490,1,3,name490,male
491,0,3,name491,male
492,0,3,name492,male
493,0,1,name493,male
494,0,1,name494,male
495,0,3,name495,male
496,0,3,name496,male
497,1,1,name497,female
498,0,3,name498,male
499,0,1,name499,female
500,0,3,name500,male
501,0,3,name501,male
502,0,3,name502,female
503,0,3,name503,female
504,0,3,name504,female
505,1,1,name505,female
506,0,1,name506,male
507,1,2,name507,female
508,1,1,name508,male
509,0,3,name509,male
510,1,3,name510,male
511,1,3,name511,male
512,0,3,name512,male
513,1,1,name513,male
514,1,1,name514,female
515,0,3,name515,male
516,0,1,name516,male
517,1,2,name517,female
518,0,3,name518,male
519,1,2,name519,female
520,0,3,name520,male
521,1,1,name521,female
522,0,3,name522,male
523,0,3,name523,male
524,1,1,name524,female
525,0,3,name525,male
526,0,3,name526,male
527,1,2,name527,female
528,0,1,name528,male
529,0,3,name529,male
530,0,2,name530,male
531,1,2,name531,female
532,0,3,name532,male
533,0,3,name533,male
534,1,3,name534,female
535,0,3,name535,female
536,1,2,name536,female
537,0,1,name537,male
538,1,1,name538,female
539,0,3,name539,male
540,1,1,name540,female
541,1,1,name541,female
542,0,3,name542,female
543,0,3,name543,female
544,1,2,name544,male
545,0,1,name545,male
546,0,1,name546,male
547,1,2,name547,female
548,1,2,name548,male
549,0,3,name549,male
550,1,2,name550,male
551,1,1,name551,male
552,0,2,name552,male
553,0,3,name553,male
554,1,3,name554,male
555,1,3,name555,female
556,0,1,name556,male
557,1,1,name557,female
558,0,1,name558,male
559,1,1,name559,female
560,1,3,name560,female
561,0,3,name561,male
562,0,3,name562,male
563,0,2,name563,male
564,0,3,name564,male
565,0,3,name565,female
566,0,3,name566,male
567,0,3,name567,male
568,0,3,name568,female
569,0,3,name569,male
570,1,3,name570,male
571,1,2,name571,male
572,1,1,name572,female
573,1,1,name573,male
574,1,3,name574,female
575,0,3,name575,male
576,0,3,name576,male
577,1,2,name577,female
578,1,1,name578,female
579,0,3,name579,female
580,1,3,name580,male
581,1,2,name581,female
582,1,1,name582,female
583,0,2,name583,male
584,0,1,name584,male
585,0,3,name585,male
586,1,1,name586,female
587,0,2,name587,male
588,1,1,name588,male
589,0,3,name589,male
590,0,3,name590,male
591,0,3,name591,male
592,1,1,name592,female
593,0,3,name593,male
594,0,3,name594,female
595,0,2,name595,male
596,0,3,name596,male
597,1,2,name597,female
598,0,3,name598,male
599,0,3,name599,male
600,1,1,name600,male
601,1,2,name601,female
602,0,3,name602,male
603,0,1,name603,male
604,0,3,name604,male
605,1,1,name605,male
606,0,3,name606,male
607,0,3,name607,male
608,1,1,name608,male
609,1,2,name609,female
610,1,1,name610,female
611,0,3,name611,female
612,0,3,name612,male
613,1,3,name613,female
614,0,3,name614,male
615,0,3,name615,male
616,1,2,name616,female
617,0,3,name617,male
618,0,3,name618,female
619,1,2,name619,female
620,0,2,name620,male
621,0,3,name621,male
622,1,1,name622,male
623,1,3,name623,male
624,0,3,name624,male
625,0,3,name625,male
626,0,1,name626,male
627,0,2,name627,male
628,1,1,name628,female
629,0,3,name629,male
630,0,3,name630,male
631,1,1,name631,male
632,0,3,name632,male
633,1,1,name633,male
634,0,1,name634,male
635,0,3,name635,female
636,1,2,name636,female
637,0,3,name637,male
638,0,2,name638,male
639,0,3,name639,female
640,0,3,name640,male
641,0,3,name641,male
642,1,1,name642,female
643,0,3,name643,female
644,1,3,name644,male
645,1,3,name645,female
646,1,1,name646,male
647,0,3,name647,male
648,1,1,name648,male
649,0,3,name649,male
650,1,3,name650,female
651,0,3,name651,male
652,1,2,name652,female
653,0,3,name653,male
654,1,3,name654,female
655,0,3,name655,female
656,0,2,name656,male
657,0,3,name657,male
658,0,3,name658,female
659,0,2,name659,male
660,0,1,name660,male
661,1,1,name661,male
662,0,3,name662,male
663,0,1,name663,male
664,0,3,name664,male
665,1,3,name665,male
666,0,2,name666,male
667,0,2,name667,male
668,0,3,name668,male
669,0,3,name669,male
670,1,1,name670,female
671,1,2,name671,female
672,0,1,name672,male
673,0,2,name673,male
674,1,2,name674,male
675,0,2,name675,male
676,0,3,name676,male
677,0,3,name677,male
678,1,3,name678,female
679,0,3,name679,female
680,1,1,name680,male
681,0,3,name681,female
682,1,1,name682,male
683,0,3,name683,male
684,0,3,name684,male
685,0,2,name685,male
686,0,2,name686,male
687,0,3,name687,male
688,0,3,name688,male
689,0,3,name689,male
690,1,1,name690,female
691,1,1,name691,male
692,1,3,name692,female
693,1,3,name693,male
694,0,3,name694,male
695,0,1,name695,male
696,0,2,name696,male
697,0,3,name697,male
698,1,3,name698,female
699,0,1,name699,male
700,0,3,name700,male
701,1,1,name701,female
702,1,1,name702,male
703,0,3,name703,female
704,0,3,name704,male
705,0,3,name705,male
706,0,2,name706,male
707,1,2,name707,female
708,1,1,name708,male
709,1,1,name709,female
710,1,3,name710,male
711,1,1,name711,female
712,0,1,name712,male
713,1,1,name713,male
714,0,3,name714,male
715,0,2,name715,male
716,0,3,name716,male
717,1,1,name717,female
718,1,2,name718,female
719,0,3,name719,male
720,0,3,name720,male
721,1,2,name721,female
722,0,3,name722,male
723,0,2,name723,male
724,0,2,name724,male
725,1,1,name725,male
726,0,3,name726,male
727,1,2,name727,female
728,1,3,name728,female
729,0,2,name729,male
730,0,3,name730,female
731,1,1,name731,female
732,0,3,name732,male
733,0,2,name733,male
734,0,2,name734,male
735,0,2,name735,male
736,0,3,name736,male
737,0,3,name737,female
738,1,1,name738,male
739,0,3,name739,male
740,0,3,name740,male
741,1,1,name741,male
742,0,1,name742,male
743,1,1,name743,female
744,0,3,name744,male
745,1,3,name745,male
746,0,1,name746,male
747,0,3,name747,male
748,1,2,name748,female
749,0,1,name749,male
750,0,3,name750,male
751,1,2,name751,female
752,1,3,name752,male
753,0,3,name753,male
754,0,3,name754,male
755,1,2,name755,female
756,1,2,name756,male
757,0,3,name757,male
758,0,2,name758,male
759,0,3,name759,male
760,1,1,name760,female
761,0,3,name761,male
762,0,3,name762,male
763,1,3,name763,male
764,1,1,name764,female
765,0,3,name765,male
766,1,1,name766,female
767,0,1,name767,male
768,0,3,name768,female
769,0,3,name769,male
770,0,3,name770,male
771,0,3,name771,male
772,0,3,name772,male
773,0,2,name773,female
774,0,3,name774,male
775,1,2,name775,female
776,0,3,name776,male
777,0,3,name777,male
778,1,3,name778,female
779,0,3,name779,male
780,1,1,name780,female
781,1,3,name781,female
782,1,1,name782,female
783,0,1,name783,male
784,0,3,name784,male
785,0,3,name785,male
786,0,3,name786,male
787,1,3,name787,female
788,0,3,name788,male
789,1,3,name789,male
790,0,1,name790,male
791,0,3,name791,male
792,0,2,name792,male
793,0,3,name793,female
794,0,1,name794,male
795,0,3,name795,male
796,0,2,name796,male
797,1,1,name797,female
798,1,3,name798,female
799,0,3,name799,male
800,0,3,name800,female
801,0,2,name801,male
802,1,2,name802,female
803,1,1,name803,male
804,1,3,name804,male
805,1,3,name805,male
806,0,3,name806,male
807,0,1,name807,male
808,0,3,name808,female
809,0,2,name809,male
810,1,1,name810,female
811,0,3,name811,male
812,0,3,name812,male
813,0,2,name813,male
814,0,3,name814,female
815,0,3,name815,male
816,0,1,name816,male
817,0,3,name817,female
818,0,2,name818,male
819,0,3,name819,male
820,0,3,name820,male
821,1,1,name821,female
822,1,3,name822,male
823,0,1,name823,male
824,1,3,name824,female
825,0,3,name825,male
826,0,3,name826,male
827,0,3,name827,male
828,1,2,name828,male
829,1,3,name829,male
830,1,1,name830,female
831,1,3,name831,female
832,1,2,name832,male
833,0,3,name833,male
834,0,3,name834,male
835,0,3,name835,male
836,1,1,name836,female
837,0,3,name837,male
838,0,3,name838,male
839,1,3,name839,male
840,1,1,name840,male
841,0,3,name841,male
842,0,2,name842,male
843,1,1,name843,female
844,0,3,name844,male
845,0,3,name845,male
846,0,3,name846,male
847,0,3,name847,male
848,0,3,name848,male
849,0,2,name849,male
850,1,1,name850,female
851,0,3,name851,male
852,0,3,name852,male
853,0,3,name853,female
854,1,1,name854,female
855,0,2,name855,female
856,1,3,name856,female
857,1,1,name857,female
858,1,1,name858,male
859,1,3,name859,female
860,0,3,name860,male
861,0,3,name861,male
862,0,2,name862,male
863,1,1,name863,female
864,0,3,name864,female
865,0,2,name865,male
866,1,2,name866,female
867,1,2,name867,female
868,0,1,name868,male
869,0,3,name869,male
870,1,3,name870,male
871,0,3,name871,male
872,1,1,name872,female
873,0,1,name873,male
874,0,3,name874,male
875,1,2,name875,female
876,1,3,name876,female
877,0,3,name877,male
878,0,3,name878,male
879,0,3,name879,male
880,1,1,name880,female
881,1,2,name881,female
882,0,3,name882,male
883,0,3,name883,female
884,0,2,name884,male
885,0,3,name885,male
886,0,3,name886,female
887,0,2,name887,male
888,1,1,name888,female
889,0,3,name889,female
890,1,1,name890,male
891,0,3,name891,male
