age,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
76,cellular,126,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no
45,cellular,211,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,cellular,340,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
39,cellular,412,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
32,telephone,132,1,999,0,nonexistent,-0.1,93.2,-42,4.592,5195.8,no
29,cellular,79,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
44,cellular,341,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
32,cellular,157,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
56,cellular,252,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no
33,cellular,263,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
39,cellular,215,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
24,cellular,89,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
33,cellular,143,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
58,telephone,40,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
29,telephone,10,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
31,cellular,113,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
27,telephone,191,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
60,cellular,481,1,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,yes
55,cellular,233,1,999,2,failure,-3.4,92.431,-26.9,0.739,5017.5,no
37,cellular,204,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
52,telephone,403,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes
46,cellular,180,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
42,cellular,16,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
35,cellular,447,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
49,cellular,81,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no
29,telephone,361,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
32,cellular,1091,2,5,1,success,-0.1,93.2,-42,4.191,5195.8,yes
37,cellular,395,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
39,telephone,432,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
51,telephone,596,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
28,cellular,59,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
34,cellular,77,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
31,cellular,768,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
31,cellular,96,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
31,telephone,357,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
38,telephone,459,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
33,telephone,11,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
32,cellular,264,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
54,cellular,698,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
41,telephone,204,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
59,cellular,93,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
57,cellular,374,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no
38,cellular,252,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
46,telephone,158,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,cellular,95,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
47,telephone,835,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
45,cellular,505,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
36,telephone,16,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,cellular,300,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
38,cellular,180,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
44,telephone,390,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
25,telephone,274,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,telephone,135,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
43,cellular,257,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
58,telephone,268,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,telephone,157,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
53,cellular,477,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
52,cellular,91,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
37,cellular,76,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
58,cellular,103,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
37,cellular,436,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
38,cellular,191,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
33,cellular,483,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
45,cellular,250,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
44,telephone,259,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
38,telephone,389,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
34,telephone,7,1,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,no
47,cellular,123,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,no
59,cellular,92,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no
51,cellular,297,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
31,telephone,406,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
56,cellular,104,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
39,telephone,135,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
41,cellular,854,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,yes
41,cellular,147,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
53,telephone,203,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
35,cellular,149,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
58,cellular,144,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
25,telephone,394,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
35,cellular,523,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
28,cellular,73,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
55,cellular,197,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
54,telephone,108,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
45,cellular,80,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,cellular,114,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
50,cellular,122,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
75,cellular,109,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
33,telephone,1161,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
29,cellular,181,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
45,cellular,239,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
38,cellular,360,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
24,telephone,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
41,cellular,984,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
58,cellular,663,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
34,telephone,157,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,cellular,141,2,999,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6,no
37,telephone,374,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
53,telephone,706,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
54,cellular,797,14,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,cellular,250,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
42,cellular,311,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,cellular,63,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,yes
33,telephone,111,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
41,cellular,148,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
31,cellular,49,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
40,telephone,171,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
53,cellular,242,1,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5,no
40,cellular,257,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
82,telephone,279,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes
28,cellular,113,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
30,cellular,246,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
31,cellular,309,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,yes
32,cellular,168,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
54,cellular,153,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
31,cellular,152,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
50,cellular,90,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
47,cellular,117,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31,cellular,149,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
32,cellular,640,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
46,cellular,199,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,no
47,cellular,1114,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
32,cellular,74,2,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,no
52,cellular,190,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
45,cellular,738,3,6,1,success,-1.1,94.601,-49.5,1.029,4963.6,yes
32,cellular,374,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
71,cellular,224,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,no
49,telephone,344,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
46,telephone,148,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
46,cellular,383,1,999,0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6,no
38,cellular,35,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
57,cellular,153,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
41,cellular,772,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
44,telephone,124,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
47,cellular,345,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
40,telephone,951,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
57,telephone,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,cellular,128,1,3,1,success,-1.8,93.369,-34.8,0.637,5008.7,yes
52,cellular,809,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
34,telephone,192,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
42,telephone,154,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,telephone,17,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
45,telephone,100,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
56,cellular,317,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
41,cellular,93,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
44,cellular,111,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
50,cellular,293,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
54,cellular,119,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
51,cellular,393,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
30,cellular,30,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
42,telephone,38,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
41,telephone,442,11,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
47,cellular,187,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
35,cellular,113,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
58,cellular,64,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
50,cellular,629,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
41,telephone,92,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
38,cellular,147,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
32,cellular,151,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
21,cellular,259,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,no
46,telephone,423,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
42,cellular,888,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
55,cellular,76,13,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
29,telephone,207,1,6,1,success,-1.1,94.767,-50.8,1.05,4963.6,no
30,telephone,100,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
53,cellular,63,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
35,cellular,265,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
46,telephone,273,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
30,telephone,85,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,cellular,261,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
42,cellular,136,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
32,cellular,711,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
,cellular,88,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
28,cellular,72,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
24,cellular,113,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
43,cellular,307,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
30,cellular,39,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
55,cellular,63,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
51,cellular,64,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
22,cellular,154,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
32,cellular,126,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
43,cellular,127,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
39,telephone,156,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
52,cellular,111,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
38,cellular,202,3,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
59,telephone,353,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
31,telephone,159,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
76,cellular,347,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes
44,telephone,76,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
30,telephone,85,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
32,telephone,174,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
41,telephone,280,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
33,cellular,686,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
59,cellular,94,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
28,cellular,225,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
33,cellular,474,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
53,cellular,76,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
41,cellular,377,6,999,0,nonexistent,-1.8,92.843,-50,1.778,5099.1,yes
55,cellular,185,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
45,telephone,121,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
35,cellular,126,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
31,cellular,160,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
53,cellular,313,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
35,cellular,141,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
45,cellular,219,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
34,telephone,267,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
42,telephone,406,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
36,cellular,151,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
44,telephone,228,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
50,cellular,73,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
36,cellular,355,1,999,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5,no
27,cellular,102,9,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
40,telephone,97,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
25,telephone,35,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
29,cellular,116,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
44,telephone,83,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
57,telephone,473,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
30,cellular,605,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
37,cellular,585,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
57,cellular,94,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
32,cellular,255,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
54,cellular,1868,2,10,1,success,-1.1,94.767,-50.8,1.035,4963.6,yes
58,cellular,846,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,yes
29,cellular,158,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
60,cellular,73,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
27,telephone,404,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
30,cellular,383,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
42,telephone,51,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
48,telephone,87,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
35,cellular,167,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
46,telephone,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,telephone,673,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,telephone,151,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
28,cellular,48,4,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
34,telephone,309,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
42,telephone,236,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
30,cellular,288,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
27,cellular,111,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,no
23,cellular,87,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
43,telephone,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,telephone,318,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,cellular,209,1,999,2,failure,-1.7,94.027,-38.3,0.898,4991.6,no
43,telephone,173,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
52,telephone,503,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
26,telephone,127,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
24,telephone,101,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,cellular,370,1,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
59,cellular,1207,4,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,yes
28,telephone,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
37,telephone,211,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
46,cellular,609,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
26,cellular,806,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6,yes
40,cellular,77,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
56,cellular,335,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
40,cellular,459,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
29,telephone,266,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
28,cellular,225,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
48,telephone,257,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
28,cellular,434,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
33,telephone,191,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
56,telephone,82,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
57,cellular,388,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
24,telephone,15,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
39,telephone,17,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
40,telephone,155,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,telephone,339,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
25,telephone,188,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
36,cellular,951,3,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,yes
48,cellular,288,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
32,cellular,206,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
48,cellular,154,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
30,telephone,72,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
41,telephone,293,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,cellular,141,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
29,cellular,215,1,999,0,nonexistent,-1.8,93.369,-34.8,0.639,5008.7,yes
28,telephone,102,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
30,telephone,178,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,telephone,461,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
